Log_ID,Student_ID,Week,Login_Count,Dashboard_Clicks,Time_Spent,Date
L44,S9499,15,3,43,101,5/17/2024
L45,S3919,10,3,14,114,3/12/2024
L46,S6514,1,7,32,16,1/1/2025
L47,S3500,1,8,14,71,2/5/2025
L48,S13184,16,4,6,107,10/14/2024
L49,S4578,3,6,11,22,5/8/2024
L50,S2008,13,8,30,89,10/17/2024
L51,S6974,16,3,27,17,5/30/2025
L52,S11757,6,9,13,88,2/4/2024
L53,S10998,4,5,35,14,7/17/2024
L54,S10483,15,4,31,57,11/11/2024
L55,S13612,1,4,39,35,9/22/2024
L56,S12698,15,4,20,106,2/19/2024
L57,S13537,12,7,18,69,2/17/2024
L58,S13210,16,8,24,14,3/4/2025
L59,S7881,9,6,12,101,9/27/2024
L60,S12825,16,3,37,35,10/16/2024
L61,S3080,9,8,40,78,4/30/2024
L62,S5138,5,2,43,28,7/16/2024
L63,S8165,9,2,43,16,8/28/2024
L64,S4987,10,1,13,86,5/12/2025
L65,S4552,1,5,6,101,4/1/2024
L66,S9483,14,3,17,31,12/22/2024
L67,S4908,8,1,22,17,5/23/2024
L68,S6774,6,8,17,11,2/24/2024
L69,S6069,2,8,12,74,1/24/2024
L70,S2815,6,7,31,98,4/21/2024
L71,S2617,2,6,41,82,1/5/2025
L72,S9885,12,2,12,73,4/1/2024
L73,S6092,3,1,5,87,3/20/2024
L74,S9101,12,7,32,62,8/28/2025
L75,S14794,7,1,8,87,7/29/2025
L76,S4991,12,5,45,118,7/29/2024
L77,S14955,15,7,39,112,6/26/2025
L78,S13304,9,9,33,45,6/24/2025
L79,S6316,16,3,16,84,11/8/2024
L80,S8449,12,9,44,87,6/19/2025
L81,S9134,7,4,34,39,4/14/2024
L82,S6658,10,4,39,19,1/29/2025
L83,S1729,7,3,33,21,1/9/2025
L84,S13087,9,2,29,87,1/25/2024
L85,S1518,7,4,11,51,10/27/2024
L86,S13318,10,4,14,33,7/31/2024
L87,S14620,12,9,21,31,10/25/2024
L88,S10087,11,9,32,99,10/2/2024
L89,S8945,12,6,36,38,4/8/2025
L90,S2387,14,1,45,32,5/29/2024
L91,S10197,13,5,10,37,4/15/2024
L92,S14076,10,6,5,100,6/14/2024
L93,S6094,3,3,9,13,10/4/2024
L94,S4733,6,9,23,98,10/12/2024
L95,S10087,3,5,26,117,12/9/2024
L96,S14105,10,4,12,90,10/21/2024
L97,S4822,1,3,5,43,8/25/2025
L98,S6587,6,9,20,72,11/14/2024
L99,S10521,4,2,29,84,12/28/2024
L100,S11949,6,1,45,78,3/28/2024
L101,S6071,8,2,23,104,5/14/2025
L102,S11173,11,9,36,117,9/18/2024
L103,S4781,12,1,9,36,12/23/2024
L104,S11983,13,8,45,20,8/17/2025
L105,S1519,12,9,48,10,7/26/2024
L106,S12986,13,5,27,116,8/24/2024
L107,S11185,3,7,42,116,9/6/2024
L108,S3538,2,9,19,72,3/4/2025
L109,S2127,7,7,19,57,9/1/2024
L110,S8728,4,4,47,68,5/2/2025
L111,S13182,14,9,49,113,6/15/2025
L112,S14786,5,8,34,27,10/14/2025
L113,S4353,11,9,6,72,8/26/2025
L114,S3593,13,2,22,70,2/20/2025
L115,S1994,9,5,34,90,4/2/2025
L116,S13574,5,8,45,96,5/15/2025
L117,S8394,7,4,34,29,7/7/2024
L118,S7805,5,1,32,108,2/13/2025
L119,S11930,13,9,18,109,3/12/2024
L120,S6469,8,3,40,58,11/27/2024
L121,S5776,6,6,6,67,9/9/2025
L122,S7834,7,6,20,56,9/19/2025
L123,S4122,11,9,23,97,11/21/2024
L124,S1535,2,4,25,43,9/3/2024
L125,S9056,11,3,15,82,11/25/2024
L126,S1878,3,9,46,57,5/1/2025
L127,S12356,5,8,17,80,4/29/2024
L128,S11544,9,4,24,112,3/23/2025
L129,S13104,14,2,34,25,8/2/2025
L130,S6420,2,8,28,33,1/21/2025
L131,S10406,1,3,10,117,12/2/2024
L132,S4972,2,2,23,12,6/15/2025
L133,S3167,4,4,31,66,1/5/2024
L134,S3472,7,2,29,101,3/26/2024
L135,S1795,11,4,28,59,12/31/2024
L136,S3686,10,9,22,108,10/9/2025
L137,S11662,2,3,23,16,7/26/2025
L138,S5674,6,3,45,42,7/26/2025
L139,S1670,8,4,40,26,9/24/2025
L140,S8502,6,9,22,19,7/24/2025
L141,S8073,13,7,45,97,3/25/2024
L142,S7783,7,9,32,43,5/26/2025
L143,S13065,4,6,40,86,8/8/2025
L144,S12470,11,4,6,114,1/23/2024
L145,S2045,10,8,48,116,4/29/2024
L146,S11314,12,5,26,72,2/27/2024
L147,S3725,5,6,9,91,2/27/2024
L148,S11671,11,8,31,40,5/12/2024
L149,S1503,13,7,16,97,9/23/2024
L150,S8825,8,7,40,58,8/29/2024
L151,S4562,3,6,12,73,1/14/2024
L152,S6317,3,1,21,66,10/15/2024
L153,S6993,13,1,23,110,1/21/2024
L154,S3826,1,9,27,87,1/5/2024
L155,S14892,4,2,21,17,1/10/2024
L156,S9397,7,1,16,79,1/24/2025
L157,S12232,7,7,18,56,9/22/2024
L158,S7886,3,8,6,90,6/12/2024
L159,S9283,12,5,17,16,1/31/2024
L160,S8129,7,8,18,94,9/22/2025
L161,S8753,15,7,12,40,1/9/2025
L162,S10007,11,9,40,109,8/22/2025
L163,S7169,6,1,47,104,5/15/2025
L164,S3053,13,4,5,77,5/20/2025
L165,S2111,15,8,46,12,5/31/2025
L166,S1989,1,5,7,47,12/4/2024
L167,S4707,15,5,49,80,11/19/2024
L168,S7282,5,9,19,85,10/4/2025
L169,S4567,4,8,48,21,12/21/2024
L170,S2865,6,5,30,33,1/27/2025
L171,S6336,12,4,31,50,5/3/2024
L172,S11042,1,7,43,90,7/20/2025
L173,S8406,4,9,15,35,1/15/2025
L174,S10082,10,8,10,65,12/27/2024
L175,S6986,11,3,47,65,3/26/2025
L176,S3731,13,1,25,34,9/8/2025
L177,S6732,15,9,40,110,5/26/2024
L178,S6871,11,7,31,85,5/31/2025
L179,S12825,1,4,24,104,6/23/2025
L180,S6721,1,3,43,49,8/26/2025
L181,S12869,16,3,48,98,6/11/2025
L182,S7535,15,5,27,107,1/14/2025
L183,S7848,11,7,33,51,11/24/2024
L184,S8480,10,7,16,15,7/30/2025
L185,S5167,15,1,31,90,7/15/2024
L186,S14234,13,5,40,70,3/21/2024
L187,S3885,14,1,16,83,2/11/2024
L188,S9849,13,1,6,96,5/13/2024
L189,S7999,12,3,28,55,6/1/2025
L190,S10163,5,9,11,115,11/1/2024
L191,S14466,7,8,35,48,1/10/2024
L192,S11431,9,6,38,83,1/29/2024
L193,S5614,2,4,22,44,3/12/2024
L194,S14969,13,4,28,45,1/20/2025
L195,S2668,11,5,42,61,3/13/2025
L196,S4071,6,3,19,102,7/31/2024
L197,S13706,6,7,20,113,5/2/2024
L198,S9920,13,9,45,47,2/5/2025
L199,S9010,10,3,36,66,8/8/2025
L200,S13143,10,7,18,50,11/19/2024
L201,S8796,16,2,24,63,6/2/2025
L202,S9090,14,9,42,117,7/16/2024
L203,S9551,8,7,16,72,8/7/2024
L204,S9557,8,9,39,90,7/11/2025
L205,S6982,9,1,22,75,1/15/2025
L206,S4368,9,8,7,11,6/24/2024
L207,S10369,1,8,29,11,3/22/2024
L208,S11037,15,9,31,32,1/12/2024
L209,S13284,12,1,49,12,3/27/2024
L210,S4011,12,8,23,49,10/26/2024
L211,S12820,3,2,16,87,10/10/2025
L212,S1670,7,3,8,36,8/8/2024
L213,S14261,16,5,5,70,12/21/2024
L214,S11235,15,3,14,14,9/10/2024
L215,S10785,6,6,27,28,12/1/2024
L216,S7999,9,3,27,75,7/21/2024
L217,S4936,16,3,21,22,2/9/2024
L218,S14514,14,4,41,45,2/4/2025
L219,S9545,10,6,13,68,8/12/2024
L220,S10569,12,9,44,98,9/23/2024
L221,S6730,15,1,29,119,12/31/2024
L222,S11598,9,8,41,93,11/11/2024
L223,S12275,5,5,9,20,9/18/2025
L224,S10408,16,2,30,59,7/13/2024
L225,S9240,12,6,21,85,7/18/2024
L226,S10087,2,3,12,107,9/16/2024
L227,S6822,9,2,29,63,1/25/2025
L228,S9057,9,5,16,59,2/19/2025
L229,S12267,11,9,30,96,2/23/2024
L230,S3005,4,5,25,87,11/15/2024
L231,S13146,2,8,42,112,10/26/2024
L232,S1160,9,6,42,24,9/4/2024
L233,S6705,8,8,37,41,6/19/2024
L234,S2426,10,5,19,42,4/3/2025
L235,S11150,11,3,37,62,1/17/2025
L236,S12430,15,5,43,72,4/29/2024
L237,S9102,12,5,17,78,4/23/2025
L238,S10780,6,9,7,50,1/5/2025
L239,S12528,7,7,34,49,5/15/2024
L240,S4850,7,6,7,51,5/9/2025
L241,S5452,5,9,36,108,10/10/2024
L242,S6235,8,6,41,117,10/1/2025
L243,S5539,4,3,15,96,3/24/2025
L244,S5321,4,2,38,77,9/26/2024
L245,S2371,14,1,35,70,4/1/2025
L246,S10881,13,6,41,117,1/7/2025
L247,S3635,1,6,25,71,2/2/2024
L248,S12842,6,6,31,92,2/9/2025
L249,S3366,8,2,11,114,12/9/2024
L250,S6599,14,7,13,37,8/20/2025
L251,S13027,5,5,15,95,4/20/2024
L252,S7901,14,5,22,37,12/17/2024
L253,S9624,16,4,32,36,4/16/2025
L254,S6097,15,5,31,110,2/6/2024
L255,S10179,10,8,13,14,4/7/2025
L256,S9706,14,4,39,76,4/10/2025
L257,S13419,1,5,24,69,9/29/2025
L258,S7146,13,8,19,52,4/12/2024
L259,S12550,11,2,36,114,7/29/2024
L260,S9271,13,2,35,90,6/28/2024
L261,S8413,14,9,17,66,4/13/2025
L262,S1762,9,6,14,18,7/15/2025
L263,S11406,10,2,30,104,4/19/2025
L264,S13974,4,6,23,75,6/26/2024
L265,S9174,6,4,36,96,2/24/2024
L266,S6899,16,6,30,68,3/6/2024
L267,S10565,11,4,24,62,9/22/2024
L268,S10997,10,9,18,116,3/17/2024
L269,S2954,16,1,33,60,7/1/2025
L270,S8621,7,1,21,62,8/30/2025
L271,S11314,2,4,29,24,6/25/2024
L272,S14822,2,8,11,65,1/15/2025
L273,S1397,2,7,22,99,2/6/2024
L274,S10188,8,7,5,106,2/11/2025
L275,S14986,2,6,39,105,11/23/2024
L276,S1545,7,1,17,59,3/2/2024
L277,S3362,10,5,8,86,3/26/2025
L278,S3368,1,3,44,87,3/30/2024
L279,S8350,8,7,43,105,2/27/2024
L280,S5648,8,8,39,91,12/31/2024
L281,S3987,10,6,39,74,7/15/2024
L282,S3778,6,2,28,98,9/16/2024
L283,S8451,13,8,7,49,7/11/2025
L284,S3962,13,9,47,13,2/14/2024
L285,S3876,6,4,20,96,5/16/2025
L286,S6857,10,9,42,43,3/14/2024
L287,S4622,14,5,29,85,2/7/2024
L288,S2781,5,8,37,11,6/8/2025
L289,S14798,3,4,45,26,1/11/2024
L290,S11289,1,1,12,119,3/10/2024
L291,S9672,11,7,6,16,7/31/2024
L292,S12067,10,3,30,61,7/14/2024
L293,S12261,7,8,5,18,3/1/2024
L294,S5096,2,4,6,12,3/10/2024
L295,S4013,15,5,21,44,8/5/2025
L296,S11204,7,3,46,82,1/27/2025
L297,S8135,9,6,23,17,10/18/2024
L298,S6293,13,5,31,64,5/23/2025
L299,S3011,1,3,27,105,1/20/2025
L300,S8521,13,4,5,46,5/15/2024
L301,S13237,11,5,45,101,2/14/2025
L302,S8576,6,1,39,45,3/8/2025
L303,S12507,8,1,19,104,6/29/2024
L304,S9643,16,5,28,82,1/9/2024
L305,S3641,14,2,16,99,3/8/2025
L306,S7454,5,1,9,46,4/2/2025
L307,S2719,4,7,26,74,6/25/2024
L308,S4429,12,8,46,111,4/22/2025
L309,S7030,6,4,5,36,10/1/2024
L310,S7020,10,8,37,88,2/24/2025
L311,S14872,4,1,49,18,9/29/2024
L312,S12207,5,1,39,88,5/2/2024
L313,S14460,6,8,24,57,6/15/2024
L314,S10271,14,3,14,92,2/22/2024
L315,S1745,16,5,47,75,10/17/2024
L316,S14796,15,1,42,36,6/25/2024
L317,S5561,9,1,39,74,10/7/2025
L318,S9864,9,3,29,58,6/4/2025
L319,S5778,5,1,33,119,12/26/2024
L320,S14108,13,9,37,35,4/1/2024
L321,S12954,5,8,5,38,10/8/2024
L322,S2383,14,2,28,102,3/13/2025
L323,S8885,11,6,25,13,7/22/2024
L324,S6700,8,9,25,49,4/3/2024
L325,S9856,10,8,15,96,5/7/2025
L326,S13863,14,5,19,95,10/24/2024
L327,S4497,7,4,17,80,4/21/2024
L328,S3966,13,2,37,14,12/17/2024
L329,S9975,11,7,20,32,7/30/2025
L330,S8809,3,4,16,17,2/21/2024
L331,S11692,2,6,15,102,9/1/2025
L332,S11100,11,3,30,84,5/5/2024
L333,S4393,5,2,26,97,12/23/2024
L334,S1430,15,8,49,65,3/28/2024
L335,S11167,2,5,8,106,3/14/2024
L336,S2665,6,4,37,93,11/4/2024
L337,S6060,14,8,19,87,9/3/2025
L338,S7190,3,4,39,93,8/23/2025
L339,S11677,11,4,48,41,5/10/2025
L340,S14323,14,8,41,114,5/7/2024
L341,S3241,5,3,24,60,4/12/2025
L342,S3298,16,4,46,74,3/12/2025
L343,S8762,12,2,12,111,1/19/2025
L344,S8424,13,2,33,107,10/19/2025
L345,S10223,8,6,30,21,12/10/2024
L346,S7346,1,6,39,91,4/28/2024
L347,S5769,5,6,30,15,11/9/2024
L348,S10718,7,2,42,94,2/11/2024
L349,S11562,4,9,17,67,10/1/2025
L350,S1605,7,7,26,66,10/28/2024
L351,S12013,1,5,40,50,7/21/2024
L352,S10025,4,1,45,91,1/25/2025
L353,S13487,12,4,40,88,3/7/2024
L354,S3166,6,9,35,27,8/13/2025
L355,S2276,1,6,20,87,8/27/2024
L356,S2611,7,3,18,44,11/29/2024
L357,S14474,13,5,28,93,3/17/2025
L358,S5582,15,9,31,23,5/4/2024
L359,S14209,6,9,10,68,8/6/2025
L360,S10619,9,9,14,42,8/3/2024
L361,S3873,5,4,24,50,2/11/2025
L362,S14802,1,8,38,82,5/19/2025
L363,S2914,1,2,18,43,2/25/2025
L364,S8886,11,9,48,25,7/21/2025
L365,S4940,15,5,40,43,10/7/2025
L366,S14509,15,5,48,15,1/13/2024
L367,S12936,6,7,25,118,1/27/2025
L368,S2722,12,6,20,51,8/3/2024
L369,S9526,11,3,31,25,12/8/2024
L370,S13071,6,3,14,118,6/8/2025
L371,S10504,1,1,24,83,5/24/2025
L372,S9412,3,9,7,101,5/22/2025
L373,S8923,14,2,17,65,2/9/2024
L374,S1176,15,1,36,36,5/27/2024
L375,S2547,11,6,8,107,6/21/2024
L376,S4653,1,7,45,58,9/30/2024
L377,S5501,5,4,49,94,2/7/2025
L378,S7097,7,3,9,84,1/19/2024
L379,S14850,11,4,27,82,1/9/2024
L380,S8937,7,8,37,68,11/11/2024
L381,S10979,3,2,26,16,3/11/2024
L382,S13443,12,5,10,111,8/7/2025
L383,S11376,12,9,38,67,5/10/2024
L384,S12375,3,2,43,44,10/17/2025
L385,S12367,13,7,6,81,8/1/2025
L386,S7841,13,7,24,46,2/10/2025
L387,S2882,7,9,19,102,10/3/2024
L388,S4518,9,8,26,111,10/12/2024
L389,S9728,7,9,18,118,3/7/2025
L390,S11890,9,4,44,45,7/27/2024
L391,S7336,4,3,6,97,4/30/2025
L392,S3763,15,7,5,112,9/8/2024
L393,S14832,7,8,26,62,7/23/2024
L394,S14218,4,5,10,54,1/11/2024
L395,S11930,4,7,40,34,9/16/2024
L396,S4241,13,8,6,27,4/2/2024
L397,S12167,10,4,39,20,3/15/2024
L398,S8015,5,7,25,92,1/19/2024
L399,S3872,12,3,44,64,6/8/2025
L400,S8032,10,7,43,103,4/27/2024
L401,S13304,9,3,5,34,8/9/2025
L402,S7918,8,7,47,119,3/16/2024
L403,S10475,4,7,23,47,7/22/2025
L404,S13186,11,3,29,28,7/25/2025
L405,S2823,5,3,45,56,9/3/2024
L406,S1419,7,8,6,109,7/1/2025
L407,S7964,10,7,45,35,2/21/2024
L408,S9201,1,6,39,98,3/28/2025
L409,S7962,4,9,38,117,4/29/2024
L410,S1765,9,1,28,30,3/7/2024
L411,S2539,8,9,13,81,2/14/2024
L412,S4440,7,4,27,74,10/8/2025
L413,S12480,8,6,23,79,6/11/2024
L414,S4447,1,3,11,27,1/16/2025
L415,S3739,1,1,32,111,7/11/2024
L416,S4124,8,9,36,32,3/23/2025
L417,S4465,6,9,48,26,12/19/2024
L418,S4599,13,9,9,85,9/15/2024
L419,S1119,11,9,14,56,6/27/2025
L420,S8868,1,2,25,116,1/29/2025
L421,S12817,8,4,43,28,12/27/2024
L422,S3196,5,5,9,119,9/3/2024
L423,S14974,13,1,33,30,5/14/2025
L424,S4956,3,7,35,74,7/26/2025
L425,S13227,9,7,21,12,1/6/2025
L426,S6538,4,6,48,35,7/16/2024
L427,S2764,1,3,16,116,9/14/2024
L428,S11943,5,8,37,25,4/2/2024
L429,S1257,3,8,32,102,10/18/2024
L430,S13594,12,5,48,10,1/28/2025
L431,S9589,16,5,5,57,6/7/2024
L432,S9022,7,6,38,119,4/24/2025
L433,S11521,2,2,12,69,6/6/2025
L434,S1146,14,1,29,60,8/14/2025
L435,S12222,15,6,40,20,9/14/2025
L436,S8205,14,4,11,115,7/26/2025
L437,S14701,7,9,22,34,12/14/2024
L438,S3905,3,6,34,54,10/1/2025
L439,S4732,5,6,32,78,2/19/2025
L440,S7766,14,9,8,20,4/27/2024
L441,S7718,14,9,17,90,9/8/2025
L442,S9909,3,4,37,71,7/18/2025
L443,S9950,2,4,40,58,5/26/2025
L444,S3924,12,7,21,101,2/28/2025
L445,S12816,12,1,16,75,9/1/2024
L446,S4829,6,7,44,31,9/25/2024
L447,S7596,3,6,28,37,10/17/2024
L448,S7393,15,1,41,22,6/19/2024
L449,S5910,6,7,44,101,6/14/2025
L450,S7516,15,7,14,75,8/8/2024
L451,S6136,4,6,6,60,7/8/2025
L452,S4403,13,8,35,68,11/21/2024
L453,S6869,15,4,32,105,5/30/2025
L454,S6431,7,7,14,62,2/20/2025
L455,S10525,13,2,9,109,7/6/2025
L456,S2300,10,2,8,112,12/13/2024
L457,S7698,10,3,11,34,10/13/2024
L458,S13825,2,6,19,10,3/10/2024
L459,S14296,12,7,42,75,10/22/2024
L460,S9935,5,6,28,59,1/22/2024
L461,S13097,1,4,45,40,2/13/2024
L462,S3096,12,2,23,78,4/30/2025
L463,S2226,2,3,26,34,3/17/2025
L464,S11035,8,6,22,98,10/16/2024
L465,S1364,16,9,19,105,6/24/2025
L466,S6317,12,6,5,64,7/30/2025
L467,S6908,15,5,43,93,5/17/2025
L468,S9520,14,6,11,15,2/26/2025
L469,S4078,2,4,40,100,8/23/2025
L470,S3250,6,4,28,56,1/3/2024
L471,S11323,11,7,8,45,4/8/2025
L472,S5943,3,7,9,27,7/18/2024
L473,S11804,13,3,10,40,6/8/2024
L474,S11968,4,9,29,63,10/28/2024
L475,S11605,10,7,41,42,9/29/2025
L476,S6124,14,3,24,56,12/4/2024
L477,S12711,14,9,13,93,6/1/2025
L478,S12786,10,6,47,45,3/8/2025
L479,S5864,13,1,30,29,6/3/2025
L480,S7341,8,5,27,93,8/24/2024
L481,S10363,15,2,44,27,9/7/2025
L482,S2080,5,1,25,80,1/21/2024
L483,S3696,15,6,42,29,6/25/2024
L484,S12829,2,5,25,29,9/27/2025
L485,S9624,5,7,38,76,2/26/2024
L486,S1800,10,3,30,113,5/28/2024
L487,S2185,7,4,38,81,2/18/2024
L488,S9269,4,6,24,56,5/28/2025
L489,S2734,8,5,13,110,5/12/2025
L490,S11541,6,7,8,69,6/20/2025
L491,S3931,1,5,13,111,10/18/2025
L492,S3285,11,1,15,103,4/11/2025
L493,S1088,9,9,7,14,4/12/2025
L494,S2202,16,1,21,12,6/3/2024
L495,S14097,12,5,42,117,8/10/2024
L496,S5977,16,5,46,97,1/20/2025
L497,S14902,7,9,15,118,8/3/2025
L498,S6563,13,3,23,35,10/9/2024
L499,S13617,9,2,7,119,6/4/2025
L500,S13012,8,7,9,11,3/31/2025
L501,S6610,4,8,46,32,10/20/2024
L502,S9010,2,7,43,107,9/23/2024
L503,S11630,7,2,27,79,3/16/2024
L504,S2469,10,9,29,91,10/8/2025
L505,S10205,5,9,16,10,4/16/2025
L506,S14370,14,7,17,15,8/10/2024
L507,S9298,2,2,8,50,6/20/2025
L508,S10885,11,8,42,80,1/15/2024
L509,S10234,1,4,38,38,6/14/2025
L510,S10780,7,5,40,25,8/6/2025
L511,S4566,7,7,35,40,9/11/2024
L512,S8295,13,4,23,112,4/12/2025
L513,S3198,6,7,34,114,3/30/2025
L514,S7338,8,5,36,87,3/9/2025
L515,S7800,12,6,48,34,4/8/2025
L516,S4391,1,8,34,76,10/8/2025
L517,S6992,16,1,45,73,12/22/2024
L518,S6030,6,6,9,106,3/1/2025
L519,S3290,4,7,36,32,1/3/2024
L520,S8638,12,9,5,103,4/28/2024
L521,S11572,13,8,29,75,12/7/2024
L522,S3350,7,9,46,117,6/21/2024
L523,S6463,10,2,28,45,3/31/2024
L524,S5755,12,4,13,92,4/28/2025
L525,S13509,10,1,42,97,9/26/2025
L526,S6679,15,3,9,20,1/1/2025
L527,S4200,8,5,18,55,7/18/2025
L528,S7627,6,8,42,41,3/12/2025
L529,S11704,10,7,20,104,9/20/2024
L530,S13421,14,4,49,54,5/24/2025
L531,S9429,15,5,46,23,1/13/2024
L532,S5938,5,5,14,97,2/19/2024
L533,S4955,14,5,9,107,2/25/2025
L534,S11998,14,2,32,74,6/10/2025
L535,S2030,10,8,43,78,6/10/2025
L536,S11576,2,3,6,83,8/5/2025
L537,S6092,10,4,37,119,4/20/2025
L538,S7635,2,9,40,74,4/5/2025
L539,S3790,9,9,34,14,5/9/2024
L540,S8939,14,3,11,113,6/6/2025
L541,S8109,14,4,16,26,10/30/2024
L542,S8907,14,8,10,98,6/27/2025
L543,S9474,9,2,21,59,12/28/2024
L544,S11185,10,4,43,17,4/4/2024
L545,S14595,14,7,30,59,3/15/2025
L546,S4101,4,2,28,67,4/20/2024
L547,S9615,14,2,21,112,1/27/2025
L548,S13047,13,7,38,29,11/6/2024
L549,S5503,12,3,13,119,5/9/2024
L550,S9064,7,1,18,88,5/22/2024
L551,S10663,9,7,5,19,5/15/2024
L552,S6447,10,3,47,12,3/19/2025
L553,S3026,15,5,49,37,2/9/2025
L554,S12449,5,2,49,17,3/15/2025
L555,S2548,1,6,28,67,5/7/2025
L556,S10967,9,1,7,46,4/1/2025
L557,S8738,4,4,39,96,12/30/2024
L558,S6456,12,7,12,55,5/23/2025
L559,S5610,8,3,24,102,6/3/2025
L560,S12176,10,1,9,36,3/30/2024
L561,S2251,3,4,24,27,12/21/2024
L562,S2201,16,7,37,109,10/9/2025
L563,S2926,16,7,12,20,2/27/2024
L564,S5459,9,9,30,62,9/26/2024
L565,S1316,11,5,48,17,7/18/2025
L566,S1566,15,5,33,119,7/3/2025
L567,S8128,2,2,15,64,9/29/2025
L568,S11381,11,9,26,43,11/7/2024
L569,S12284,5,3,12,56,3/2/2024
L570,S6061,12,1,28,86,5/17/2025
L571,S1158,5,7,32,77,6/24/2025
L572,S2786,10,4,17,62,1/11/2025
L573,S1191,12,7,40,61,1/17/2024
L574,S6976,15,5,6,16,3/25/2024
L575,S13741,16,4,6,117,5/17/2024
L576,S5311,3,4,34,75,3/28/2025
L577,S11972,4,3,31,39,2/20/2025
L578,S7053,16,8,18,68,7/24/2024
L579,S3557,2,8,12,77,8/6/2024
L580,S3631,13,1,26,27,7/30/2025
L581,S5067,13,1,40,35,10/7/2025
L582,S8103,15,5,14,55,6/15/2025
L583,S3989,12,2,42,115,2/21/2024
L584,S6880,5,1,14,24,9/25/2025
L585,S3519,1,4,34,118,2/11/2025
L586,S14249,5,6,20,47,10/1/2025
L587,S1657,13,4,32,107,7/31/2025
L588,S5310,9,2,5,96,5/23/2024
L589,S10594,1,5,34,22,8/5/2024
L590,S8089,13,4,12,32,6/3/2024
L591,S8143,1,6,5,78,2/2/2024
L592,S11616,7,6,8,60,12/31/2024
L593,S3763,12,5,9,25,10/12/2025
L594,S10558,6,2,12,80,3/16/2024
L595,S5045,15,5,46,91,12/16/2024
L596,S10840,13,5,31,18,5/9/2025
L597,S7508,11,3,44,74,9/20/2024
L598,S14687,6,6,41,65,8/17/2024
L599,S3178,6,6,31,100,1/19/2024
L600,S4323,9,5,12,11,1/12/2024
L601,S1949,5,2,10,60,4/17/2024
L602,S9030,11,3,46,20,1/24/2025
L603,S2369,14,3,11,101,1/18/2024
L604,S4756,1,9,5,93,7/18/2025
L605,S10891,11,2,34,118,8/29/2025
L606,S12348,2,2,17,88,12/17/2024
L607,S12879,15,5,18,76,1/1/2024
L608,S12579,16,8,43,70,5/14/2024
L609,S8252,6,1,41,64,8/5/2024
L610,S12455,3,3,19,18,5/8/2024
L611,S2369,12,4,49,65,3/23/2024
L612,S6422,15,2,5,93,4/11/2025
L613,S5969,7,9,13,78,8/3/2024
L614,S14149,7,9,24,97,4/17/2024
L615,S5811,12,6,29,106,4/7/2024
L616,S1442,5,2,5,20,2/27/2024
L617,S14631,15,5,43,82,5/17/2024
L618,S1695,2,1,31,39,11/26/2024
L619,S9637,15,2,6,98,6/9/2024
L620,S12690,16,3,26,15,5/10/2024
L621,S8593,5,4,49,60,9/21/2024
L622,S9529,7,8,36,100,9/13/2024
L623,S6768,7,7,12,48,9/18/2025
L624,S2276,13,3,24,80,4/11/2025
L625,S7201,1,5,16,62,7/10/2024
L626,S2815,11,2,32,81,10/15/2025
L627,S14462,5,3,47,43,2/16/2025
L628,S4940,2,6,21,113,2/16/2025
L629,S4366,6,1,22,43,5/17/2025
L630,S9316,4,2,26,60,4/14/2024
L631,S14273,10,5,21,101,3/7/2024
