Enrollment_ID,Student_ID,Course_Name,Attendance,Grade,Credits
E254,S3230,Communication Skills,66,58,3
E255,S5005,Programming,91,54,4
E256,S11192,Communication Skills,79,98,3
E257,S2944,AI Basics,76,81,3
E258,S10198,Programming,73,67,3
E259,S4580,Programming,60,58,4
E260,S13701,Statistics,83,85,4
E261,S13486,Math,99,78,4
E262,S5086,Communication Skills,99,53,3
E263,S4990,Communication Skills,61,53,3
E264,S11680,Programming,63,59,4
E265,S6917,Statistics,66,52,4
E266,S2753,Programming,93,62,4
E267,S5291,Math,80,85,3
E268,S11501,Communication Skills,62,54,3
E269,S12454,AI Basics,62,68,4
E270,S2217,AI Basics,71,92,4
E271,S12853,Statistics,63,58,3
E272,S3744,Math,71,99,4
E273,S14691,Statistics,100,66,3
E274,S3387,Math,82,53,4
E275,S4618,AI Basics,87,60,4
E276,S4586,Communication Skills,68,74,4
E277,S6702,Programming,87,95,3
E278,S12038,Communication Skills,81,55,3
E279,S4828,Programming,67,87,4
E280,S8628,Math,66,94,3
E281,S7987,AI Basics,82,99,3
E282,S7600,Communication Skills,85,71,4
E283,S12137,Programming,62,51,4
E284,S14888,Communication Skills,61,87,4
E285,S5550,AI Basics,64,96,4
E286,S4103,Statistics,80,85,4
E287,S8926,Statistics,66,81,3
E288,S5769,Statistics,67,68,3
E289,S6661,Communication Skills,91,72,4
E290,S12778,Statistics,85,59,4
E291,S10693,Statistics,75,59,3
E292,S9845,AI Basics,97,97,3
E293,S7569,Math,72,59,4
E294,S12423,AI Basics,67,67,4
E295,S5511,AI Basics,96,98,4
E296,S5218,Statistics,85,91,4
E297,S8939,Statistics,76,75,3
E298,S11510,Programming,78,58,3
E299,S8267,Statistics,99,66,3
E300,S1378,AI Basics,84,55,3
E301,S6970,Programming,99,94,3
E302,S10660,Programming,81,82,4
E303,S1506,Math,80,97,3
E304,S8480,Statistics,81,75,3
E305,S7732,Programming,60,54,3
E306,S9920,AI Basics,83,82,4
E307,S1200,AI Basics,80,90,3
E308,S8916,Statistics,73,82,4
E309,S4709,Programming,100,55,4
E310,S14215,Communication Skills,76,81,4
E311,S8931,AI Basics,74,68,3
E312,S12057,Programming,80,84,3
E313,S9569,AI Basics,80,68,3
E314,S14046,AI Basics,79,73,3
E315,S5543,AI Basics,95,80,4
E316,S5882,AI Basics,84,64,4
E317,S7178,Math,64,69,4
E318,S8299,Communication Skills,73,98,3
E319,S2854,Math,95,84,4
E320,S9418,Statistics,91,93,4
E321,S10934,Communication Skills,60,54,4
E322,S1731,AI Basics,69,53,4
E323,S7476,Statistics,65,59,4
E324,S5064,Statistics,91,55,4
E325,S10195,Programming,100,57,3
E326,S3053,Programming,83,98,4
E327,S9129,Statistics,81,52,4
E328,S9535,AI Basics,71,51,3
E329,S5337,Communication Skills,76,81,3
E330,S7662,Statistics,72,50,4
E331,S13397,Math,99,52,4
E332,S14195,Programming,87,71,4
E333,S8686,AI Basics,81,77,4
E334,S8958,Communication Skills,87,85,4
E335,S3923,Communication Skills,91,63,3
E336,S2230,Statistics,61,99,4
E337,S11559,Math,100,68,4
E338,S6800,Math,94,90,3
E339,S3875,Programming,88,93,4
E340,S10732,Communication Skills,86,99,3
E341,S1240,Communication Skills,93,71,3
E342,S14718,Statistics,94,88,4
E343,S11926,Programming,83,51,4
E344,S14154,AI Basics,78,96,4
E345,S5382,Math,65,91,3
E346,S4575,Statistics,76,90,4
E347,S7920,Programming,63,99,4
E348,S8964,AI Basics,96,81,3
E349,S7177,Math,79,60,3
E350,S6891,Communication Skills,98,79,3
E351,S3590,AI Basics,99,72,4
E352,S10744,AI Basics,88,52,3
E353,S6888,AI Basics,66,58,4
E354,S14845,Programming,92,77,4
E355,S11726,Programming,88,60,4
E356,S8708,Math,62,57,4
E357,S12906,Communication Skills,83,77,4
E358,S12477,Communication Skills,76,82,3
E359,S3931,Statistics,96,89,3
E360,S9054,Math,88,57,3
E361,S7376,AI Basics,97,71,4
E362,S1420,AI Basics,74,72,3
E363,S8781,AI Basics,79,86,3
E364,S7895,Communication Skills,87,98,3
E365,S13913,Math,67,97,3
E366,S6286,AI Basics,88,53,3
E367,S13769,Statistics,67,92,4
E368,S14722,Math,86,77,4
E369,S5530,Statistics,81,67,4
E370,S6105,Math,85,92,4
E371,S13240,Programming,88,66,3
E372,S5391,Communication Skills,69,61,3
E373,S7200,Statistics,67,98,4
E374,S9593,Math,64,70,4
E375,S1867,Programming,71,73,4
E376,S12765,Statistics,68,52,3
E377,S8872,Programming,61,58,4
E378,S5517,Communication Skills,93,70,3
E379,S6078,Communication Skills,78,59,4
E380,S8075,Programming,87,51,3
E381,S3408,Programming,90,80,4
E382,S2542,Math,77,72,3
E383,S8850,Statistics,80,56,3
E384,S11209,Communication Skills,74,74,4
E385,S1946,Statistics,64,52,3
E386,S5578,Statistics,91,51,4
E387,S13187,Communication Skills,82,82,3
E388,S11624,AI Basics,100,50,4
E389,S13745,Statistics,75,93,3
E390,S11539,Statistics,84,89,4
E391,S9072,Communication Skills,78,98,3
E392,S2076,AI Basics,87,59,4
E393,S14374,Statistics,78,97,4
E394,S1951,Statistics,95,64,3
E395,S4032,Math,66,71,3
E396,S14664,Statistics,63,72,4
E397,S2646,Communication Skills,97,64,3
E398,S10123,Math,78,89,3
E399,S1141,Math,96,90,3
E400,S4024,Math,81,79,3
E401,S5410,Math,93,96,4
E402,S2276,Statistics,62,80,4
E403,S14014,Communication Skills,91,67,4
E404,S12073,Programming,61,67,3
E405,S8844,Programming,97,66,3
E406,S4607,Statistics,96,90,3
E407,S11068,Math,74,83,4
E408,S1083,AI Basics,97,80,4
E409,S10318,Programming,90,85,3
E410,S14290,Communication Skills,70,91,3
E411,S8512,Math,84,64,3
E412,S6817,Math,94,84,4
E413,S9786,Communication Skills,70,70,4
E414,S14290,Math,80,71,4
E415,S11185,Statistics,70,78,3
E416,S4570,Communication Skills,79,81,3
E417,S8333,Math,72,96,3
E418,S7025,Programming,99,84,3
E419,S6119,Statistics,75,70,3
E420,S7497,Communication Skills,86,70,4
E421,S7041,Programming,67,99,4
E422,S8195,Programming,69,65,3
E423,S9568,Math,61,73,3
E424,S8231,Programming,62,87,3
E425,S2270,AI Basics,62,51,3
E426,S4291,Statistics,85,67,3
E427,S5811,Math,71,71,3
E428,S3674,Communication Skills,75,62,3
E429,S8426,Statistics,68,61,4
E430,S10135,Math,90,78,3
E431,S8421,Math,66,62,4
E432,S14261,AI Basics,69,75,3
E433,S12147,Programming,82,68,4
E434,S11344,Statistics,64,95,3
E435,S10584,Programming,61,53,3
E436,S2337,Programming,94,91,4
E437,S8528,Statistics,66,65,4
E438,S14216,Math,70,72,3
E439,S1409,Communication Skills,92,73,4
E440,S11247,Math,71,88,4
E441,S8878,AI Basics,98,87,4
E442,S11398,Programming,91,69,4
E443,S2586,Programming,98,97,4
E444,S1365,Programming,100,62,4
E445,S3116,AI Basics,74,72,3
E446,S1104,Statistics,95,57,3
E447,S9996,Programming,66,55,3
E448,S9201,Programming,85,70,3
E449,S3527,Math,71,60,3
E450,S5985,Communication Skills,75,78,4
E451,S1643,Math,91,53,4
E452,S14127,AI Basics,76,82,3
E453,S10746,Communication Skills,87,60,4
E454,S11426,AI Basics,80,73,3
E455,S9846,Math,87,89,3
E456,S4149,AI Basics,99,69,4
E457,S11972,AI Basics,86,65,4
E458,S3747,AI Basics,66,91,3
E459,S14597,AI Basics,77,83,4
E460,S1037,Programming,87,51,3
E461,S9995,AI Basics,61,93,4
E462,S4482,Communication Skills,88,88,4
E463,S6381,Programming,70,64,3
E464,S5690,Statistics,83,81,3
E465,S10440,AI Basics,61,70,4
E466,S6005,AI Basics,83,58,4
E467,S1463,Statistics,75,57,3
E468,S9680,Programming,78,56,3
E469,S3416,Communication Skills,99,73,4
E470,S6427,Statistics,87,55,3
E471,S7418,AI Basics,84,61,3
E472,S11450,Programming,91,85,3
E473,S11125,AI Basics,89,88,3
E474,S1986,Communication Skills,76,66,3
E475,S2346,AI Basics,81,80,4
E476,S1218,Programming,100,50,3
E477,S12049,Communication Skills,86,72,4
E478,S12694,AI Basics,75,99,3
E479,S10883,Communication Skills,80,79,3
E480,S12279,Math,74,91,4
E481,S11640,Statistics,95,63,4
E482,S8441,Programming,68,51,3
E483,S8629,Statistics,98,90,4
E484,S8707,Statistics,78,93,4
E485,S9202,AI Basics,78,76,3
E486,S4598,AI Basics,87,97,3
E487,S7077,Programming,78,88,3
E488,S3154,Statistics,86,94,3
E489,S8586,Communication Skills,94,55,4
E490,S6541,Statistics,84,73,3
E491,S11960,Statistics,97,70,3
E492,S10057,Programming,97,89,3
E493,S2082,Statistics,75,51,3
E494,S3576,AI Basics,79,81,4
E495,S2227,Communication Skills,90,76,3
E496,S12834,Programming,82,76,3
E497,S10421,Communication Skills,82,58,3
E498,S7970,Communication Skills,71,98,4
E499,S13376,AI Basics,85,70,3
E500,S5085,Communication Skills,77,78,4
E501,S14262,Math,86,60,3
E502,S12496,Statistics,84,83,3
E503,S3504,Statistics,63,85,4
E504,S3226,Programming,86,71,4
E505,S2233,Programming,77,83,4
E506,S9612,AI Basics,69,90,3
E507,S14480,Programming,61,64,3
E508,S7253,Math,72,89,3
E509,S2160,Programming,62,68,4
E510,S7608,AI Basics,66,50,3
E511,S11412,AI Basics,100,55,3
E512,S3127,AI Basics,77,58,4
E513,S3443,Statistics,69,97,3
E514,S13393,Programming,94,63,4
E515,S12541,Statistics,92,64,3
E516,S13225,Math,61,73,4
E517,S2930,Statistics,92,77,4
E518,S2956,Statistics,97,55,4
E519,S5500,AI Basics,69,90,3
E520,S4887,AI Basics,84,55,4
E521,S3367,Communication Skills,83,84,4
E522,S7073,Math,90,85,4
E523,S12761,Statistics,64,91,3
E524,S5604,Programming,93,76,3
E525,S7728,Communication Skills,100,54,3
E526,S1099,Programming,97,54,4
E527,S5273,Communication Skills,79,51,4
E528,S3531,Communication Skills,84,60,3
E529,S3764,Programming,68,64,4
E530,S3480,Statistics,69,94,4
E531,S10803,Communication Skills,91,50,4
E532,S9362,Programming,91,82,4
E533,S14438,Programming,64,80,3
E534,S11088,AI Basics,76,76,3
E535,S13703,Communication Skills,93,52,4
E536,S2338,Programming,61,78,4
E537,S8776,Math,64,53,4
E538,S6790,Programming,70,82,3
E539,S8002,Statistics,61,98,4
E540,S10624,Math,81,69,3
E541,S3110,Math,74,80,3
E542,S11944,Statistics,73,55,4
E543,S1748,Math,76,99,4
E544,S10130,Communication Skills,72,82,3
E545,S13409,Programming,78,91,3
E546,S12572,Statistics,60,84,3
E547,S6370,Statistics,86,86,4
E548,S3454,AI Basics,81,51,4
E549,S5215,Math,62,91,4
E550,S8913,Programming,97,89,3
E551,S5936,Statistics,67,92,3
E552,S1923,Statistics,94,64,3
E553,S13719,AI Basics,62,67,3
E554,S13796,AI Basics,63,79,3
E555,S12836,Communication Skills,85,85,4
E556,S4604,Math,65,75,3
E557,S12421,Math,97,68,4
E558,S11464,Programming,62,90,3
E559,S2710,Communication Skills,76,77,4
E560,S13311,Statistics,91,99,4
E561,S13530,Math,76,98,4
E562,S4619,Programming,87,62,4
E563,S1967,Programming,81,51,4
E564,S14360,Programming,86,65,3
E565,S12008,Programming,72,66,4
E566,S2722,AI Basics,85,68,4
E567,S6255,Statistics,85,52,4
E568,S9959,Statistics,68,99,4
E569,S7919,AI Basics,97,94,3
E570,S12141,AI Basics,85,77,4
E571,S9968,Statistics,72,69,4
E572,S3446,Math,100,52,4
E573,S11599,Math,92,59,3
E574,S3158,Math,92,50,4
E575,S9438,AI Basics,78,83,4
E576,S13639,Statistics,73,71,3
E577,S4100,Programming,83,89,4
E578,S9097,Communication Skills,90,85,4
E579,S3079,AI Basics,61,78,4
E580,S9519,Communication Skills,61,80,3
E581,S6820,AI Basics,98,84,3
E582,S5240,Math,93,63,3
E583,S4750,Programming,65,69,3
E584,S11749,Math,63,93,4
E585,S9163,Math,74,57,3
E586,S1046,Communication Skills,81,61,4
E587,S10036,Programming,95,73,4
E588,S14833,Programming,70,96,3
E589,S10034,Statistics,85,65,3
E590,S7786,Math,66,73,3
E591,S11952,Communication Skills,82,85,3
E592,S3485,Statistics,97,74,3
E593,S6096,AI Basics,99,51,4
E594,S2397,Math,75,96,4
E595,S9464,AI Basics,64,96,4
E596,S2084,Statistics,61,67,4
E597,S1733,Communication Skills,95,56,4
E598,S1783,Communication Skills,93,56,3
E599,S13473,Math,98,81,4
E600,S6069,Statistics,89,94,4
E601,S2133,Communication Skills,99,75,3
E602,S6685,AI Basics,64,91,3
E603,S14700,Programming,79,79,4
E604,S5040,AI Basics,94,75,3
E605,S6802,Statistics,77,54,3
E606,S1371,Programming,98,79,4
E607,S13172,Programming,92,56,3
E608,S8380,Communication Skills,70,54,4
E609,S11282,Math,91,59,3
E610,S4803,AI Basics,89,75,3
E611,S8301,Statistics,70,96,3
E612,S6211,Programming,62,70,3
E613,S2363,Math,86,65,3
E614,S2680,Math,66,74,3
E615,S13970,AI Basics,69,73,4
E616,S7259,AI Basics,72,63,4
E617,S2041,AI Basics,61,61,4
E618,S3441,Programming,66,95,4
E619,S8450,AI Basics,80,83,4
E620,S11511,Math,97,57,3
E621,S1774,Communication Skills,80,94,3
E622,S13397,Math,92,91,4
E623,S1116,Programming,68,89,4
E624,S8777,Math,100,65,4
E625,S10290,Statistics,63,65,3
E626,S11651,Programming,79,93,4
E627,S2185,Math,72,89,4
E628,S11233,AI Basics,87,54,3
E629,S11168,AI Basics,71,51,3
E630,S13539,Statistics,83,68,4
E631,S14833,Math,60,73,3
E632,S11451,Communication Skills,87,96,3
E633,S11828,Communication Skills,81,81,4
E634,S4926,Programming,70,74,4
E635,S8843,Communication Skills,97,93,4
E636,S14955,Communication Skills,69,86,3
E637,S2340,Programming,63,67,4
E638,S10696,AI Basics,69,54,4
E639,S9932,Math,60,76,4
E640,S8413,Communication Skills,61,70,4
E641,S2299,Statistics,81,72,4
E642,S14817,Math,84,94,3
E643,S6360,Communication Skills,86,75,4
E644,S5774,Programming,97,52,4
E645,S4373,Communication Skills,70,53,3
E646,S14440,Communication Skills,66,96,4
E647,S9619,Communication Skills,88,61,4
E648,S13126,Communication Skills,98,85,3
E649,S14276,AI Basics,95,60,4
E650,S10551,Communication Skills,68,62,4
E651,S7143,Statistics,66,86,4
E652,S6666,Statistics,81,72,3
E653,S8098,Math,64,59,4
E654,S14907,AI Basics,97,58,3
E655,S8939,Communication Skills,83,67,3
E656,S13003,Statistics,90,89,4
E657,S3465,Math,73,59,4
E658,S12611,Math,67,98,3
E659,S9217,Programming,73,73,3
E660,S14233,AI Basics,83,63,4
E661,S1409,Programming,62,60,4
E662,S4775,Programming,91,79,3
E663,S5362,Communication Skills,70,62,4
E664,S13751,Statistics,75,91,4
E665,S14936,Communication Skills,63,52,4
E666,S8135,Programming,72,64,3
E667,S1725,AI Basics,64,60,4
E668,S13664,AI Basics,84,84,3
E669,S11972,Statistics,62,66,3
E670,S11417,Programming,100,70,4
E671,S5658,Communication Skills,78,94,3
E672,S2035,AI Basics,71,78,3
E673,S4730,AI Basics,77,91,3
E674,S8111,Programming,89,52,4
E675,S7354,Statistics,68,85,3
E676,S8810,Communication Skills,62,66,4
E677,S2343,Communication Skills,98,70,3
E678,S3393,Math,92,68,3
E679,S11098,AI Basics,73,84,4
E680,S5587,Math,65,53,3
E681,S6545,Programming,60,69,3
E682,S8188,Programming,73,59,3
E683,S1665,Math,86,71,4
E684,S8160,Programming,79,53,3
E685,S11017,Math,99,81,4
E686,S11107,Communication Skills,77,67,4
E687,S10913,AI Basics,79,67,3
E688,S11505,AI Basics,85,71,4
E689,S14234,AI Basics,76,60,4
E690,S9972,Communication Skills,97,55,3
E691,S11201,AI Basics,81,98,3
E692,S5343,Communication Skills,67,79,3
E693,S5523,Programming,62,71,3
E694,S8403,Programming,81,84,3
E695,S10009,AI Basics,64,71,4
E696,S12028,Math,60,88,3
E697,S7486,AI Basics,66,91,4
E698,S7222,AI Basics,80,74,3
E699,S3378,Statistics,92,99,4
E700,S6573,Communication Skills,73,60,4
E701,S3975,Communication Skills,67,74,4
E702,S10366,AI Basics,61,61,3
E703,S8832,Communication Skills,62,86,3
E704,S3574,Math,80,82,3
E705,S5716,AI Basics,75,92,3
E706,S7359,Statistics,98,87,3
E707,S10991,Statistics,70,62,4
E708,S4246,AI Basics,74,56,4
E709,S3024,Math,88,54,4
E710,S6279,Statistics,83,64,4
E711,S10941,Programming,95,54,3
E712,S12502,Programming,85,80,4
E713,S5608,Math,95,54,4
E714,S9211,Statistics,64,78,3
E715,S8350,Programming,86,71,3
E716,S13543,Communication Skills,63,61,3
E717,S14798,AI Basics,65,78,3
E718,S3010,Statistics,95,68,3
E719,S12778,Communication Skills,81,97,4
E720,S11653,Communication Skills,98,69,4
E721,S4941,Statistics,92,96,3
E722,S14656,Communication Skills,99,53,4
E723,S12531,Statistics,85,86,4
E724,S1051,Communication Skills,98,65,4
E725,S5272,Statistics,90,76,4
E726,S4850,Statistics,63,94,3
E727,S10828,Statistics,98,99,3
E728,S3300,AI Basics,75,78,3
E729,S10223,Math,60,65,3
E730,S1192,Programming,64,96,3
E731,S8578,Math,69,57,4
E732,S13511,AI Basics,90,57,3
E733,S11816,Communication Skills,70,88,3
E734,S4449,Programming,91,81,4
E735,S8915,Math,78,75,3
E736,S13843,Statistics,60,55,4
E737,S4351,Math,73,97,3
E738,S3909,Statistics,92,89,4
E739,S3699,Math,64,68,4
E740,S10518,Math,91,50,4
E741,S14170,Communication Skills,70,97,3
E742,S7166,Programming,71,66,4
E743,S7659,Math,64,78,4
E744,S13683,Statistics,100,61,4
E745,S3940,AI Basics,98,74,3
E746,S10797,Math,96,65,3
E747,S11771,Statistics,90,88,3
E748,S6035,Communication Skills,90,58,4
E749,S14170,Communication Skills,65,77,3
E750,S3255,AI Basics,82,90,3
E751,S8962,Math,75,52,3
E752,S6959,Communication Skills,82,82,4
E753,S8466,Statistics,68,87,3
E754,S10788,Statistics,95,90,3
E755,S4447,Math,61,56,4
E756,S3241,Statistics,89,73,4
E757,S10213,AI Basics,98,52,3
E758,S11692,AI Basics,67,57,4
E759,S7189,Communication Skills,69,91,4
E760,S1314,AI Basics,82,59,4
E761,S8727,AI Basics,86,68,4
E762,S7778,Statistics,99,77,3
E763,S13339,Programming,90,75,3
E764,S7501,Communication Skills,84,68,4
E765,S4420,Statistics,80,79,3
E766,S3709,Statistics,80,56,3
E767,S5462,Statistics,76,50,3
E768,S5644,AI Basics,60,52,3
E769,S2785,Statistics,82,68,3
E770,S10596,Math,88,66,4
E771,S10125,Programming,85,72,4
E772,S12485,Programming,76,93,3
