Student_ID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade
S1047,19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0
S1048,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3
S1049,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0
S1050,19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3
S1051,19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0
S1052,29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3
S1053,29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2
S1054,29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3
S1055,29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2
S1056,25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2
S1057,25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2
S1058,17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0
S1059,17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0
S1060,17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0
S1061,17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0
S1062,17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0
S1063,17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0
S1064,17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0
S1065,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2
S1066,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0
S1067,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2
S1068,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0
S1069,23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2
S1070,23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0
S1071,23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2
S1072,23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0
S1073,23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2
S1074,23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0
S1075,17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1
S1076,17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2
S1077,17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0
S1078,17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0
S1079,17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1
S1080,17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1
S1081,17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2
S1082,17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0
S1083,17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0
S1084,17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1
S1085,17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1
S1086,17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2
S1087,17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0
S1088,17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0
S1089,17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1
S1090,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0
S1091,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1
S1092,17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0
S1093,17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1
S1094,17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0
S1095,17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1
S1096,17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0
S1097,17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1
S1098,17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0
S1099,17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1
S1100,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0
S1101,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1
S1102,17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0
S1103,17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1
S1104,17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0
S1105,17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1
S1106,17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0
S1107,17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1
S1108,17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0
S1109,17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1
S1110,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0
S1111,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0
S1112,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0
S1113,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0
S1114,21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0
S1115,21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0
S1116,21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0
S1117,21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0
S1118,21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0
S1119,21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0
S1120,21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0
S1121,21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0
S1122,21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0
S1123,21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0
S1124,9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3
S1125,9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3
S1126,10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2
S1127,10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1
S1128,17,68,1,0,1,1,0,19,3,0,1,75,42,1,1,3
S1129,17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2
S1130,17,68,1,0,1,1,0,20,3,19,1,88,49,1,1,3
S1131,17,68,1,1,1,1,0,19,3,0,1,75,42,1,1,3
S1132,17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2
S1133,17,68,1,1,1,1,0,20,3,19,1,88,49,1,1,3
S1134,17,68,1,0,2,1,0,19,3,0,1,75,42,1,1,3
S1135,17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2
S1136,17,68,1,0,2,1,0,20,3,19,1,88,49,1,1,3
S1137,17,68,2,1,1,1,0,19,3,0,1,75,42,1,1,3
S1138,17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2
S1139,17,68,2,1,1,1,0,20,3,19,1,88,49,1,1,3
S1140,17,68,0,1,2,1,0,19,3,0,1,75,42,1,1,3
S1141,17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2
S1142,17,68,0,1,2,1,0,20,3,19,1,88,49,1,1,3
S1143,22,70,1,1,1,1,0,22,3,1,1,74,40,1,2,3
S1144,22,70,1,0,0,1,0,22,3,1,1,74,40,1,2,3
S1145,22,70,2,1,2,1,0,22,3,1,1,74,40,1,2,3
S1146,22,70,1,1,0,1,0,22,3,1,1,74,40,1,2,3
S1147,22,70,2,1,1,1,0,22,3,1,1,74,40,1,2,3
S1148,15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2
S1149,15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0
S1150,15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1
S1151,15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2
S1152,15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0
S1153,15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1
S1154,15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2
S1155,15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0
S1156,15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1
S1157,15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2
S1158,15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0
S1159,15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1
S1160,15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2
S1161,15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0
S1162,15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1
S1163,15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2
S1164,15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0
S1165,15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1
S1166,12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1
S1167,12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3
S1168,12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1
S1169,12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3
S1170,29,78,1,0,2,1,0,28,0,2,1,67,91,1,2,0
S1171,29,78,2,1,1,1,0,28,0,2,1,67,91,1,2,0
S1172,19,99,2,0,1,1,1,25,3,13,1,91,56,1,0,2
S1173,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2
S1174,19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2
S1175,19,99,2,1,0,1,1,25,3,13,1,91,56,1,0,2
S1176,19,99,0,0,1,1,1,25,3,13,1,91,56,1,0,2
S1177,19,99,1,1,0,1,1,25,3,13,1,91,56,1,0,2
S1178,19,99,1,1,1,1,1,25,3,13,1,91,56,1,0,2
S1179,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2
S1180,19,99,0,0,2,1,1,25,3,13,1,91,56,1,0,2
S1181,19,99,2,1,1,1,1,25,3,13,1,91,56,1,0,2
S1182,19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2
S1183,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2
S1184,20,74,2,0,0,1,0,22,3,3,1,93,97,1,2,0
S1185,20,74,2,0,0,1,0,24,1,20,1,68,67,0,1,2
S1186,20,74,2,0,0,1,0,29,0,13,0,80,65,0,0,2
S1187,20,74,1,1,0,1,0,22,3,3,1,93,97,1,2,0
S1188,20,74,1,1,0,1,0,24,1,20,1,68,67,0,1,2
S1189,20,74,1,1,0,1,0,29,0,13,0,80,65,0,0,2
S1190,20,74,2,1,1,0,0,22,3,3,1,93,97,1,2,0
S1191,20,74,2,1,1,0,0,24,1,20,1,68,67,0,1,2
S1192,20,74,2,1,1,0,0,29,0,13,0,80,65,0,0,2
S1193,20,74,1,1,2,1,0,22,3,3,1,93,97,1,2,0
S1194,20,74,1,1,2,1,0,24,1,20,1,68,67,0,1,2
S1195,20,74,1,1,2,1,0,29,0,13,0,80,65,0,0,2
S1196,20,74,0,1,2,1,0,22,3,3,1,93,97,1,2,0
S1197,20,74,0,1,2,1,0,24,1,20,1,68,67,0,1,2
S1198,20,74,0,1,2,1,0,29,0,13,0,80,65,0,0,2
S1199,11,78,1,1,2,1,1,25,2,4,1,59,77,0,1,1
S1200,11,78,1,1,2,1,1,27,0,15,0,69,77,1,2,1
S1201,11,78,1,1,2,1,1,18,0,13,0,62,90,1,2,0
S1202,11,78,1,1,2,1,1,19,2,3,1,80,98,1,2,0
S1203,11,78,1,1,2,1,1,21,3,8,1,96,83,1,1,1
S1204,11,78,2,1,1,1,1,25,2,4,1,59,77,0,1,1
S1205,11,78,2,1,1,1,1,27,0,15,0,69,77,1,2,1
S1206,11,78,2,1,1,1,1,18,0,13,0,62,90,1,2,0
S1207,11,78,2,1,1,1,1,19,2,3,1,80,98,1,2,0
S1208,11,78,2,1,1,1,1,21,3,8,1,96,83,1,1,1
S1209,17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1
S1210,17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2
S1211,17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1
S1212,17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2
S1213,17,65,0,1,1,1,0,28,2,12,0,88,72,0,0,1
S1214,17,65,0,1,1,1,0,21,1,16,0,79,58,1,2,2
S1215,17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1
S1216,17,65,1,0,1,1,0,21,1,16,0,79,58,1,2,2
S1217,17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1
S1218,17,65,1,0,1,1,0,21,1,16,0,79,58,1,2,2
S1219,21,62,0,1,2,1,1,26,2,9,1,65,46,0,2,3
S1220,21,62,0,0,2,1,1,26,2,9,1,65,46,0,2,3
S1221,21,62,1,0,1,1,1,26,2,9,1,65,46,0,2,3
S1222,13,91,1,0,1,1,0,19,0,7,1,64,63,0,1,2
S1223,13,91,1,0,1,1,0,25,3,12,0,73,77,0,2,1
S1224,13,91,1,0,1,1,0,21,0,13,1,98,100,0,2,0
S1225,13,91,1,0,1,1,0,29,1,3,1,66,90,1,2,0
S1226,13,91,1,0,1,1,0,28,1,11,1,85,46,1,2,3
S1227,13,91,1,0,1,1,0,19,2,18,0,89,61,0,2,2
S1228,13,91,1,1,1,1,0,19,0,7,1,64,63,0,1,2
S1229,13,91,1,1,1,1,0,25,3,12,0,73,77,0,2,1
S1230,13,91,1,1,1,1,0,21,0,13,1,98,100,0,2,0
S1231,13,91,1,1,1,1,0,29,1,3,1,66,90,1,2,0
S1232,13,91,1,1,1,1,0,28,1,11,1,85,46,1,2,3
S1233,13,91,1,1,1,1,0,19,2,18,0,89,61,0,2,2
S1234,22,83,2,1,1,1,1,28,2,11,0,96,75,1,2,1
S1235,22,83,1,1,2,1,1,28,2,11,0,96,75,1,2,1
S1236,22,83,1,1,2,0,1,28,2,11,0,96,75,1,2,1
S1237,22,83,1,1,2,1,1,28,2,11,0,96,75,1,2,1
S1238,22,83,0,1,1,1,1,28,2,11,0,96,75,1,2,1
S1239,16,90,1,0,1,1,0,19,1,0,1,90,52,0,2,3
S1240,16,90,1,0,2,0,0,19,1,0,1,90,52,0,2,3
S1241,16,90,2,1,1,1,0,19,1,0,1,90,52,0,2,3
S1242,16,90,1,0,1,1,0,19,1,0,1,90,52,0,2,3
S1243,16,90,2,1,2,1,0,19,1,0,1,90,52,0,2,3
S1244,18,66,2,0,0,1,1,22,1,3,0,50,73,1,1,1
S1245,18,66,2,0,0,1,1,27,2,11,0,57,60,1,0,2
S1246,18,66,1,0,1,1,1,22,1,3,0,50,73,1,1,1
S1247,18,66,1,0,1,1,1,27,2,11,0,57,60,1,0,2
S1248,18,66,2,0,1,1,1,22,1,3,0,50,73,1,1,1
S1249,18,66,2,0,1,1,1,27,2,11,0,57,60,1,0,2
S1250,18,66,2,1,1,1,1,22,1,3,0,50,73,1,1,1
S1251,18,66,2,1,1,1,1,27,2,11,0,57,60,1,0,2
S1252,18,66,1,1,0,0,1,22,1,3,0,50,73,1,1,1
S1253,18,66,1,1,0,0,1,27,2,11,0,57,60,1,0,2
S1254,18,66,2,1,1,0,1,22,1,3,0,50,73,1,1,1
S1255,18,66,2,1,1,0,1,27,2,11,0,57,60,1,0,2
S1256,18,66,1,1,2,1,1,22,1,3,0,50,73,1,1,1
S1257,18,66,1,1,2,1,1,27,2,11,0,57,60,1,0,2
S1258,18,66,1,1,1,1,1,22,1,3,0,50,73,1,1,1
S1259,18,66,1,1,1,1,1,27,2,11,0,57,60,1,0,2
S1260,16,83,1,0,1,1,0,27,1,12,1,52,66,0,1,2
S1261,16,83,1,0,1,1,0,26,1,0,0,96,56,1,0,2
S1262,16,83,2,1,0,1,0,27,1,12,1,52,66,0,1,2
S1263,16,83,2,1,0,1,0,26,1,0,0,96,56,1,0,2
S1264,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2
S1265,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2
S1266,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2
S1267,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2
S1268,16,83,1,1,2,1,0,27,1,12,1,52,66,0,1,2
S1269,16,83,1,1,2,1,0,26,1,0,0,96,56,1,0,2
S1270,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2
S1271,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2
S1272,16,83,1,1,0,1,0,27,1,12,1,52,66,0,1,2
S1273,16,83,1,1,0,1,0,26,1,0,0,96,56,1,0,2
S1274,16,83,1,0,0,1,0,27,1,12,1,52,66,0,1,2
S1275,16,83,1,0,0,1,0,26,1,0,0,96,56,1,0,2
S1276,31,70,2,1,1,1,1,28,2,1,0,52,71,1,2,1
S1277,20,69,1,1,1,1,1,21,3,3,1,87,79,1,0,1
S1278,20,69,1,1,1,1,1,18,3,9,0,82,97,0,2,0
S1279,20,69,2,1,1,1,1,21,3,3,1,87,79,1,0,1
S1280,20,69,2,1,1,1,1,18,3,9,0,82,97,0,2,0
S1281,20,69,2,0,0,1,1,21,3,3,1,87,79,1,0,1
S1282,20,69,2,0,0,1,1,18,3,9,0,82,97,0,2,0
S1283,20,69,1,1,2,1,1,21,3,3,1,87,79,1,0,1
S1284,20,69,1,1,2,1,1,18,3,9,0,82,97,0,2,0
S1285,14,60,1,0,1,1,0,18,0,6,0,88,52,1,2,3
S1286,14,60,0,1,0,1,0,18,0,6,0,88,52,1,2,3
S1287,25,65,1,0,1,1,0,25,3,0,1,62,51,0,1,3
S1288,25,65,1,0,1,1,0,28,3,12,1,100,55,1,0,2
S1289,25,65,2,1,2,1,0,25,3,0,1,62,51,0,1,3
S1290,25,65,2,1,2,1,0,28,3,12,1,100,55,1,0,2
S1291,25,65,0,1,1,1,0,25,3,0,1,62,51,0,1,3
S1292,25,65,0,1,1,1,0,28,3,12,1,100,55,1,0,2
S1293,25,65,1,1,1,1,0,25,3,0,1,62,51,0,1,3
S1294,25,65,1,1,1,1,0,28,3,12,1,100,55,1,0,2
S1295,25,65,0,1,1,1,0,25,3,0,1,62,51,0,1,3
S1296,25,65,0,1,1,1,0,28,3,12,1,100,55,1,0,2
S1297,25,65,2,1,0,0,0,25,3,0,1,62,51,0,1,3
S1298,25,65,2,1,0,0,0,28,3,12,1,100,55,1,0,2
S1299,21,65,0,1,0,1,0,20,3,1,1,54,54,1,0,3
S1300,21,65,0,1,0,1,0,24,1,2,1,96,78,0,2,1
S1301,21,65,2,1,0,0,0,20,3,1,1,54,54,1,0,3
S1302,21,65,2,1,0,0,0,24,1,2,1,96,78,0,2,1
S1303,8,99,1,0,0,1,0,28,2,9,1,99,97,0,1,0
S1304,8,99,1,0,0,1,0,23,1,4,1,89,54,1,1,3
S1305,8,99,1,0,0,1,0,20,3,6,1,59,91,0,0,0
S1306,8,99,2,1,1,1,0,28,2,9,1,99,97,0,1,0
S1307,8,99,2,1,1,1,0,23,1,4,1,89,54,1,1,3
S1308,8,99,2,1,1,1,0,20,3,6,1,59,91,0,0,0
S1309,12,72,1,1,1,1,0,28,1,15,1,58,100,0,1,0
S1310,12,72,1,1,1,1,0,26,2,20,1,51,42,1,2,3
S1311,12,72,1,1,1,1,0,29,1,5,0,61,73,1,1,1
S1312,12,72,0,1,2,1,0,28,1,15,1,58,100,0,1,0
S1313,12,72,0,1,2,1,0,26,2,20,1,51,42,1,2,3
S1314,12,72,0,1,2,1,0,29,1,5,0,61,73,1,1,1
S1315,12,72,1,0,2,1,0,28,1,15,1,58,100,0,1,0
S1316,12,72,1,0,2,1,0,26,2,20,1,51,42,1,2,3
S1317,12,72,1,0,2,1,0,29,1,5,0,61,73,1,1,1
S1318,12,72,0,1,2,1,0,28,1,15,1,58,100,0,1,0
S1319,12,72,0,1,2,1,0,26,2,20,1,51,42,1,2,3
S1320,12,72,0,1,2,1,0,29,1,5,0,61,73,1,1,1
S1321,12,72,1,0,0,1,0,28,1,15,1,58,100,0,1,0
S1322,12,72,1,0,0,1,0,26,2,20,1,51,42,1,2,3
S1323,12,72,1,0,0,1,0,29,1,5,0,61,73,1,1,1
S1324,21,65,1,1,0,1,1,21,0,0,0,93,95,1,1,0
S1325,21,65,0,1,2,0,1,21,0,0,0,93,95,1,1,0
S1326,21,65,1,0,2,1,1,21,0,0,0,93,95,1,1,0
S1327,21,65,2,0,0,1,1,21,0,0,0,93,95,1,1,0
S1328,21,65,1,1,1,1,1,21,0,0,0,93,95,1,1,0
S1329,21,65,1,0,1,1,1,21,0,0,0,93,95,1,1,0
S1330,21,65,2,1,2,1,1,21,0,0,0,93,95,1,1,0
S1331,21,65,2,0,1,1,1,21,0,0,0,93,95,1,1,0
S1332,24,68,1,0,0,1,1,29,2,13,1,78,61,1,1,2
S1333,24,68,1,0,1,1,1,29,2,13,1,78,61,1,1,2
S1334,24,68,1,1,2,1,1,29,2,13,1,78,61,1,1,2
S1335,24,68,1,1,0,1,1,29,2,13,1,78,61,1,1,2
S1336,24,68,2,1,0,1,1,29,2,13,1,78,61,1,1,2
S1337,24,68,1,1,1,1,1,29,2,13,1,78,61,1,1,2
S1338,24,68,1,1,1,0,1,29,2,13,1,78,61,1,1,2
S1339,24,68,0,1,0,1,1,29,2,13,1,78,61,1,1,2
S1340,21,84,1,1,0,1,0,23,0,11,0,79,56,1,2,2
S1341,21,84,0,0,0,1,0,23,0,11,0,79,56,1,2,2
S1342,21,84,1,0,1,1,0,23,0,11,0,79,56,1,2,2
S1343,21,84,2,1,0,1,0,23,0,11,0,79,56,1,2,2
S1344,21,84,0,1,0,1,0,23,0,11,0,79,56,1,2,2
S1345,18,94,2,1,1,1,1,21,0,0,1,83,93,1,2,0
S1346,18,94,2,1,1,1,1,29,1,17,1,55,51,1,2,3
S1347,18,94,1,1,2,1,1,21,0,0,1,83,93,1,2,0
S1348,18,94,1,1,2,1,1,29,1,17,1,55,51,1,2,3
S1349,18,94,2,1,0,1,1,21,0,0,1,83,93,1,2,0
S1350,18,94,2,1,0,1,1,29,1,17,1,55,51,1,2,3
S1351,18,94,1,1,1,1,1,21,0,0,1,83,93,1,2,0
S1352,18,94,1,1,1,1,1,29,1,17,1,55,51,1,2,3
S1353,18,94,1,0,0,1,1,21,0,0,1,83,93,1,2,0
S1354,18,94,1,0,0,1,1,29,1,17,1,55,51,1,2,3
S1355,18,94,1,1,0,0,1,21,0,0,1,83,93,1,2,0
S1356,18,94,1,1,0,0,1,29,1,17,1,55,51,1,2,3
S1357,18,94,1,1,1,1,1,21,0,0,1,83,93,1,2,0
S1358,18,94,1,1,1,1,1,29,1,17,1,55,51,1,2,3
S1359,11,98,1,1,0,1,1,25,0,11,0,77,81,1,0,1
S1360,11,98,1,1,0,1,1,25,2,7,1,94,52,1,2,3
S1361,11,98,1,1,0,1,1,26,0,12,0,58,87,0,2,0
S1362,11,98,2,1,2,1,1,25,0,11,0,77,81,1,0,1
S1363,11,98,2,1,2,1,1,25,2,7,1,94,52,1,2,3
S1364,11,98,2,1,2,1,1,26,0,12,0,58,87,0,2,0
S1365,16,70,1,1,1,1,1,28,2,7,1,94,84,1,0,1
S1366,16,70,1,1,1,1,1,22,0,20,0,89,83,1,2,1
S1367,16,70,1,1,1,1,1,19,2,20,1,53,86,1,2,0
S1368,16,70,2,1,2,1,1,28,2,7,1,94,84,1,0,1
S1369,16,70,2,1,2,1,1,22,0,20,0,89,83,1,2,1
S1370,16,70,2,1,2,1,1,19,2,20,1,53,86,1,2,0
S1371,16,70,2,1,2,1,1,28,2,7,1,94,84,1,0,1
S1372,16,70,2,1,2,1,1,22,0,20,0,89,83,1,2,1
S1373,16,70,2,1,2,1,1,19,2,20,1,53,86,1,2,0
S1374,17,78,1,1,1,1,0,24,1,14,1,84,59,0,0,2
S1375,17,78,1,1,1,1,0,26,3,9,0,90,85,1,2,0
S1376,17,78,1,1,1,1,0,29,1,20,1,58,85,0,2,0
S1377,17,78,2,0,1,1,0,24,1,14,1,84,59,0,0,2
S1378,17,78,2,0,1,1,0,26,3,9,0,90,85,1,2,0
S1379,17,78,2,0,1,1,0,29,1,20,1,58,85,0,2,0
S1380,17,78,2,0,1,1,0,24,1,14,1,84,59,0,0,2
S1381,17,78,2,0,1,1,0,26,3,9,0,90,85,1,2,0
S1382,17,78,2,0,1,1,0,29,1,20,1,58,85,0,2,0
