Insight_ID,Student_ID,Risk_Level,Message,Date,Semester
I42,S1042,Low,Consider reaching out to your academic coach.,8/11/2024,Fall 2024
I43,S1043,Medium,Consider reaching out to your academic coach.,9/10/2024,Fall 2024
I44,S1044,High,"You’re doing well, stay consistent.",8/24/2024,Fall 2024
I45,S1045,High,Attendance could be improved.,7/25/2025,Spring 2025
I46,S1046,Low,Attendance could be improved.,3/22/2025,Spring 2025
I47,S1047,Medium,Attendance could be improved.,12/15/2024,Fall 2024
I48,S1048,Medium,Consider reaching out to your academic coach.,3/2/2025,Spring 2025
I49,S1049,Low,Consider reaching out to your academic coach.,3/16/2025,Spring 2025
I50,S1050,Medium,"You’re doing well, stay consistent.",4/23/2024,Spring 2024
I51,S1051,Low,"You’re doing well, stay consistent.",6/10/2025,Spring 2025
I52,S1052,Medium,Keep up the great work!,8/19/2024,Fall 2024
I53,S1053,Medium,Consider reaching out to your academic coach.,7/16/2024,Fall 2024
I54,S1054,Medium,Attendance could be improved.,1/9/2025,Spring 2025
I55,S1055,Low,"You’re doing well, stay consistent.",5/1/2024,Spring 2024
I56,S1056,Medium,Consider reaching out to your academic coach.,1/28/2025,Spring 2025
I57,S1057,Low,Keep up the great work!,2/25/2024,Spring 2024
I58,S1058,Low,Keep up the great work!,1/1/2025,Spring 2025
I59,S1059,Low,Consider reaching out to your academic coach.,3/20/2025,Spring 2025
I60,S1060,High,Attendance could be improved.,4/15/2025,Spring 2025
I61,S1061,Medium,Consider reaching out to your academic coach.,2/25/2025,Spring 2025
I62,S1062,Low,Keep up the great work!,5/28/2024,Spring 2024
I63,S1063,Medium,Attendance could be improved.,7/15/2024,Fall 2024
I64,S1064,Medium,Keep up the great work!,8/6/2024,Fall 2024
I65,S1065,Low,Keep up the great work!,6/27/2025,Spring 2025
I66,S1066,Low,Keep up the great work!,7/12/2024,Fall 2024
I67,S1067,Low,Consider reaching out to your academic coach.,4/9/2025,Spring 2025
I68,S1068,High,"You’re doing well, stay consistent.",5/10/2024,Spring 2024
I69,S1069,High,Keep up the great work!,9/17/2024,Fall 2024
I70,S1070,Medium,Keep up the great work!,7/8/2024,Fall 2024
I71,S1071,Low,"You’re doing well, stay consistent.",9/24/2025,Spring 2025
I72,S1072,High,"You’re doing well, stay consistent.",10/8/2025,Spring 2025
I73,S1073,Medium,"You’re doing well, stay consistent.",3/28/2024,Spring 2024
I74,S1074,High,Attendance could be improved.,3/9/2025,Spring 2025
I75,S1075,High,"You’re doing well, stay consistent.",11/25/2024,Fall 2024
I76,S1076,Low,Attendance could be improved.,6/23/2025,Spring 2025
I77,S1077,Low,"You’re doing well, stay consistent.",10/30/2024,Fall 2024
I78,S1078,Low,Keep up the great work!,3/8/2025,Spring 2025
I79,S1079,Medium,"You’re doing well, stay consistent.",12/16/2024,Fall 2024
I80,S1080,Low,Consider reaching out to your academic coach.,5/22/2025,Spring 2025
I81,S1081,Low,Attendance could be improved.,9/28/2024,Fall 2024
I82,S1082,Low,Keep up the great work!,7/4/2025,Spring 2025
I83,S1083,Low,Attendance could be improved.,6/6/2025,Spring 2025
I84,S1084,Low,Attendance could be improved.,5/23/2024,Spring 2024
I85,S1085,Low,Keep up the great work!,10/1/2025,Spring 2025
I86,S1086,High,"You’re doing well, stay consistent.",7/21/2024,Fall 2024
I87,S1087,Medium,Attendance could be improved.,4/3/2024,Spring 2024
I88,S1088,Low,"You’re doing well, stay consistent.",10/5/2025,Spring 2025
I89,S1089,Medium,Consider reaching out to your academic coach.,12/1/2024,Fall 2024
I90,S1090,Medium,Keep up the great work!,7/18/2024,Fall 2024
I91,S1091,High,Consider reaching out to your academic coach.,10/19/2024,Fall 2024
I92,S1092,Low,Keep up the great work!,6/12/2024,Fall 2024
I93,S1093,Low,Attendance could be improved.,11/30/2024,Fall 2024
I94,S1094,Low,Consider reaching out to your academic coach.,8/4/2025,Spring 2025
I95,S1095,Medium,Keep up the great work!,5/7/2024,Spring 2024
I96,S1096,Low,Attendance could be improved.,4/26/2025,Spring 2025
I97,S1097,Medium,Attendance could be improved.,9/26/2025,Spring 2025
I98,S1098,Low,Attendance could be improved.,5/12/2024,Spring 2024
I99,S1099,Low,Consider reaching out to your academic coach.,8/25/2025,Spring 2025
I100,S1100,Low,Attendance could be improved.,3/1/2025,Spring 2025
I101,S1101,Low,Consider reaching out to your academic coach.,3/26/2024,Spring 2024
I102,S1102,Medium,Consider reaching out to your academic coach.,11/10/2024,Fall 2024
I103,S1103,Medium,Keep up the great work!,9/13/2025,Spring 2025
I104,S1104,High,Attendance could be improved.,3/18/2024,Spring 2024
I105,S1105,Low,"You’re doing well, stay consistent.",12/15/2024,Fall 2024
I106,S1106,Low,Consider reaching out to your academic coach.,8/31/2024,Fall 2024
I107,S1107,Medium,"You’re doing well, stay consistent.",10/22/2024,Fall 2024
I108,S1108,Low,Keep up the great work!,3/19/2025,Spring 2025
I109,S1109,Low,"You’re doing well, stay consistent.",7/29/2025,Spring 2025
I110,S1110,Low,Keep up the great work!,7/2/2025,Spring 2025
I111,S1111,Medium,Consider reaching out to your academic coach.,4/30/2025,Spring 2025
I112,S1112,Low,Attendance could be improved.,4/30/2025,Spring 2025
I113,S1113,Low,Keep up the great work!,1/2/2024,Spring 2024
I114,S1114,Low,Attendance could be improved.,3/2/2024,Spring 2024
I115,S1115,High,Keep up the great work!,3/8/2024,Spring 2024
I116,S1116,Medium,Attendance could be improved.,10/8/2025,Spring 2025
I117,S1117,High,Consider reaching out to your academic coach.,2/13/2024,Spring 2024
I118,S1118,Low,"You’re doing well, stay consistent.",10/9/2025,Spring 2025
I119,S1119,Low,Keep up the great work!,5/15/2024,Spring 2024
I120,S1120,Low,Keep up the great work!,7/11/2025,Spring 2025
I121,S1121,Low,Attendance could be improved.,4/7/2025,Spring 2025
I122,S1122,Medium,Attendance could be improved.,8/9/2024,Fall 2024
I123,S1123,Low,Consider reaching out to your academic coach.,10/31/2024,Fall 2024
I124,S1124,Low,"You’re doing well, stay consistent.",2/8/2024,Spring 2024
I125,S1125,Low,Consider reaching out to your academic coach.,5/13/2024,Spring 2024
I126,S1126,Medium,"You’re doing well, stay consistent.",3/21/2025,Spring 2025
I127,S1127,Low,"You’re doing well, stay consistent.",8/2/2025,Spring 2025
I128,S1128,Low,Attendance could be improved.,12/20/2024,Fall 2024
I129,S1129,High,Keep up the great work!,9/19/2025,Spring 2025
I130,S1130,Medium,Consider reaching out to your academic coach.,8/9/2024,Fall 2024
I131,S1131,Medium,Consider reaching out to your academic coach.,8/1/2025,Spring 2025
I132,S1132,Low,Attendance could be improved.,8/21/2025,Spring 2025
I133,S1133,Medium,Attendance could be improved.,1/6/2025,Spring 2025
I134,S1134,Medium,"You’re doing well, stay consistent.",9/21/2024,Fall 2024
I135,S1135,Low,Keep up the great work!,8/21/2024,Fall 2024
I136,S1136,Low,Attendance could be improved.,3/9/2025,Spring 2025
I137,S1137,High,Keep up the great work!,7/27/2024,Fall 2024
I138,S1138,Low,Consider reaching out to your academic coach.,5/5/2025,Spring 2025
I139,S1139,High,Attendance could be improved.,8/7/2024,Fall 2024
I140,S1140,Low,"You’re doing well, stay consistent.",7/21/2025,Spring 2025
I141,S1141,Low,"You’re doing well, stay consistent.",8/9/2024,Fall 2024
I142,S1142,Low,"You’re doing well, stay consistent.",3/7/2025,Spring 2025
I143,S1143,Medium,"You’re doing well, stay consistent.",2/6/2024,Spring 2024
I144,S1144,Medium,Attendance could be improved.,1/18/2025,Spring 2025
I145,S1145,Medium,"You’re doing well, stay consistent.",2/11/2025,Spring 2025
I146,S1146,Medium,"You’re doing well, stay consistent.",5/14/2025,Spring 2025
I147,S1147,Low,Consider reaching out to your academic coach.,12/3/2024,Fall 2024
I148,S1148,Medium,Attendance could be improved.,6/14/2025,Spring 2025
I149,S1149,Low,Keep up the great work!,6/18/2025,Spring 2025
I150,S1150,Medium,"You’re doing well, stay consistent.",6/12/2025,Spring 2025
I151,S1151,Low,Attendance could be improved.,8/31/2025,Spring 2025
I152,S1152,Low,Attendance could be improved.,8/21/2025,Spring 2025
I153,S1153,Medium,Keep up the great work!,10/23/2024,Fall 2024
I154,S1154,High,Attendance could be improved.,1/4/2025,Spring 2025
I155,S1155,Medium,"You’re doing well, stay consistent.",1/5/2024,Spring 2024
I156,S1156,Medium,Consider reaching out to your academic coach.,2/22/2025,Spring 2025
I157,S1157,Low,Keep up the great work!,6/15/2024,Fall 2024
I158,S1158,High,"You’re doing well, stay consistent.",3/16/2025,Spring 2025
I159,S1159,High,Consider reaching out to your academic coach.,7/30/2025,Spring 2025
I160,S1160,Medium,Consider reaching out to your academic coach.,10/21/2024,Fall 2024
I161,S1161,Medium,"You’re doing well, stay consistent.",1/15/2024,Spring 2024
I162,S1162,Medium,Keep up the great work!,7/15/2025,Spring 2025
I163,S1163,Low,Consider reaching out to your academic coach.,2/28/2025,Spring 2025
I164,S1164,High,"You’re doing well, stay consistent.",7/4/2025,Spring 2025
I165,S1165,Low,"You’re doing well, stay consistent.",9/3/2025,Spring 2025
I166,S1166,High,Keep up the great work!,10/26/2024,Fall 2024
I167,S1167,Medium,Attendance could be improved.,6/15/2025,Spring 2025
I168,S1168,High,Attendance could be improved.,4/6/2025,Spring 2025
I169,S1169,Medium,"You’re doing well, stay consistent.",9/25/2024,Fall 2024
I170,S1170,Low,Consider reaching out to your academic coach.,9/23/2025,Spring 2025
I171,S1171,Medium,Attendance could be improved.,8/13/2025,Spring 2025
I172,S1172,Low,Keep up the great work!,1/23/2025,Spring 2025
I173,S1173,High,Attendance could be improved.,4/10/2025,Spring 2025
I174,S1174,Low,Consider reaching out to your academic coach.,9/18/2025,Spring 2025
I175,S1175,Medium,Keep up the great work!,7/29/2025,Spring 2025
I176,S1176,Low,Attendance could be improved.,8/7/2025,Spring 2025
I177,S1177,Low,Consider reaching out to your academic coach.,7/18/2025,Spring 2025
I178,S1178,Low,"You’re doing well, stay consistent.",9/5/2024,Fall 2024
I179,S1179,Medium,Consider reaching out to your academic coach.,5/29/2024,Spring 2024
I180,S1180,Medium,Consider reaching out to your academic coach.,9/19/2024,Fall 2024
I181,S1181,Low,"You’re doing well, stay consistent.",8/27/2025,Spring 2025
I182,S1182,High,Keep up the great work!,10/17/2024,Fall 2024
I183,S1183,Low,"You’re doing well, stay consistent.",6/20/2025,Spring 2025
I184,S1184,High,Consider reaching out to your academic coach.,3/4/2025,Spring 2025
I185,S1185,Low,"You’re doing well, stay consistent.",12/25/2024,Fall 2024
I186,S1186,Medium,"You’re doing well, stay consistent.",12/25/2024,Fall 2024
I187,S1187,Low,"You’re doing well, stay consistent.",4/4/2025,Spring 2025
I188,S1188,Low,"You’re doing well, stay consistent.",7/11/2025,Spring 2025
I189,S1189,Low,"You’re doing well, stay consistent.",11/26/2024,Fall 2024
I190,S1190,Medium,Keep up the great work!,10/26/2024,Fall 2024
I191,S1191,High,Attendance could be improved.,3/10/2024,Spring 2024
I192,S1192,Low,"You’re doing well, stay consistent.",7/14/2025,Spring 2025
I193,S1193,Low,Consider reaching out to your academic coach.,9/19/2025,Spring 2025
I194,S1194,Low,Attendance could be improved.,9/29/2025,Spring 2025
I195,S1195,Low,Attendance could be improved.,5/2/2025,Spring 2025
I196,S1196,High,Keep up the great work!,2/24/2024,Spring 2024
I197,S1197,Medium,Consider reaching out to your academic coach.,7/10/2024,Fall 2024
I198,S1198,Low,Consider reaching out to your academic coach.,2/15/2024,Spring 2024
I199,S1199,Low,Attendance could be improved.,7/19/2024,Fall 2024
I200,S1200,Low,"You’re doing well, stay consistent.",5/12/2024,Spring 2024
I201,S1201,High,Attendance could be improved.,1/19/2025,Spring 2025
I202,S1202,Low,Keep up the great work!,12/18/2024,Fall 2024
I203,S1203,Low,Consider reaching out to your academic coach.,5/26/2025,Spring 2025
I204,S1204,Low,Consider reaching out to your academic coach.,7/10/2025,Spring 2025
I205,S1205,High,Attendance could be improved.,9/11/2024,Fall 2024
I206,S1206,Medium,Consider reaching out to your academic coach.,4/29/2024,Spring 2024
I207,S1207,High,Attendance could be improved.,2/22/2024,Spring 2024
I208,S1208,Low,Keep up the great work!,4/4/2025,Spring 2025
I209,S1209,Medium,Attendance could be improved.,3/6/2025,Spring 2025
I210,S1210,Low,Attendance could be improved.,4/3/2025,Spring 2025
I211,S1211,High,Consider reaching out to your academic coach.,6/16/2025,Spring 2025
I212,S1212,Low,"You’re doing well, stay consistent.",9/5/2024,Fall 2024
I213,S1213,Low,Keep up the great work!,2/7/2025,Spring 2025
I214,S1214,Low,"You’re doing well, stay consistent.",6/9/2025,Spring 2025
I215,S1215,Medium,Attendance could be improved.,10/13/2024,Fall 2024
I216,S1216,Low,Consider reaching out to your academic coach.,6/13/2024,Fall 2024
I217,S1217,Low,"You’re doing well, stay consistent.",5/26/2025,Spring 2025
I218,S1218,Low,Consider reaching out to your academic coach.,9/3/2024,Fall 2024
I219,S1219,Low,Keep up the great work!,2/20/2025,Spring 2025
I220,S1220,Medium,Keep up the great work!,10/22/2024,Fall 2024
I221,S1221,Medium,Keep up the great work!,3/26/2025,Spring 2025
I222,S1222,High,Attendance could be improved.,8/28/2024,Fall 2024
I223,S1223,Medium,Consider reaching out to your academic coach.,7/5/2025,Spring 2025
I224,S1224,Medium,Attendance could be improved.,8/27/2024,Fall 2024
I225,S1225,Medium,Keep up the great work!,4/7/2024,Spring 2024
I226,S1226,High,Consider reaching out to your academic coach.,10/8/2025,Spring 2025
I227,S1227,High,Keep up the great work!,9/5/2024,Fall 2024
I228,S1228,Medium,Keep up the great work!,3/30/2024,Spring 2024
I229,S1229,Low,Attendance could be improved.,12/12/2024,Fall 2024
I230,S1230,Low,Keep up the great work!,6/21/2025,Spring 2025
I231,S1231,Medium,Keep up the great work!,5/11/2024,Spring 2024
I232,S1232,High,"You’re doing well, stay consistent.",9/27/2025,Spring 2025
I233,S1233,Low,"You’re doing well, stay consistent.",7/3/2025,Spring 2025
I234,S1234,Medium,Attendance could be improved.,7/16/2024,Fall 2024
I235,S1235,Medium,Consider reaching out to your academic coach.,2/14/2024,Spring 2024
I236,S1236,Low,Keep up the great work!,4/2/2024,Spring 2024
I237,S1237,High,Consider reaching out to your academic coach.,1/29/2025,Spring 2025
I238,S1238,Low,Keep up the great work!,3/30/2025,Spring 2025
I239,S1239,Low,Consider reaching out to your academic coach.,6/9/2024,Fall 2024
I240,S1240,Medium,Attendance could be improved.,9/1/2025,Spring 2025
I241,S1241,Medium,Consider reaching out to your academic coach.,1/19/2025,Spring 2025
I242,S1242,Medium,Keep up the great work!,4/28/2025,Spring 2025
I243,S1243,Medium,"You’re doing well, stay consistent.",3/15/2024,Spring 2024
I244,S1244,High,"You’re doing well, stay consistent.",3/13/2024,Spring 2024
I245,S1245,Medium,Consider reaching out to your academic coach.,9/7/2024,Fall 2024
I246,S1246,High,Keep up the great work!,4/11/2024,Spring 2024
I247,S1247,High,"You’re doing well, stay consistent.",1/15/2024,Spring 2024
I248,S1248,Low,"You’re doing well, stay consistent.",6/20/2024,Fall 2024
I249,S1249,Low,Attendance could be improved.,4/2/2025,Spring 2025
I250,S1250,Medium,Consider reaching out to your academic coach.,10/9/2025,Spring 2025
I251,S1251,Medium,Keep up the great work!,1/19/2025,Spring 2025
I252,S1252,Low,Consider reaching out to your academic coach.,12/5/2024,Fall 2024
I253,S1253,Low,Attendance could be improved.,10/15/2025,Spring 2025
I254,S1254,Low,Attendance could be improved.,5/9/2025,Spring 2025
I255,S1255,Low,Keep up the great work!,2/21/2025,Spring 2025
I256,S1256,Medium,Attendance could be improved.,8/2/2024,Fall 2024
I257,S1257,Low,"You’re doing well, stay consistent.",6/10/2024,Fall 2024
I258,S1258,Medium,Keep up the great work!,7/26/2025,Spring 2025
I259,S1259,Low,"You’re doing well, stay consistent.",7/4/2024,Fall 2024
I260,S1260,Medium,Consider reaching out to your academic coach.,5/12/2024,Spring 2024
I261,S1261,Low,Keep up the great work!,7/5/2025,Spring 2025
I262,S1262,High,Keep up the great work!,2/24/2024,Spring 2024
I263,S1263,High,Keep up the great work!,5/26/2024,Spring 2024
I264,S1264,Low,"You’re doing well, stay consistent.",6/29/2025,Spring 2025
I265,S1265,Low,Keep up the great work!,4/23/2025,Spring 2025
I266,S1266,Medium,Attendance could be improved.,9/6/2024,Fall 2024
I267,S1267,Low,Attendance could be improved.,7/22/2025,Spring 2025
I268,S1268,Low,"You’re doing well, stay consistent.",5/23/2024,Spring 2024
I269,S1269,Medium,Keep up the great work!,10/1/2024,Fall 2024
I270,S1270,Low,Consider reaching out to your academic coach.,5/3/2025,Spring 2025
I271,S1271,Medium,Keep up the great work!,3/28/2024,Spring 2024
I272,S1272,Low,Attendance could be improved.,9/14/2025,Spring 2025
I273,S1273,Low,Attendance could be improved.,1/21/2025,Spring 2025
I274,S1274,Low,Attendance could be improved.,4/12/2024,Spring 2024
I275,S1275,High,Keep up the great work!,5/31/2025,Spring 2025
I276,S1276,Low,Attendance could be improved.,8/15/2024,Fall 2024
I277,S1277,High,"You’re doing well, stay consistent.",2/22/2024,Spring 2024
I278,S1278,Medium,Attendance could be improved.,2/6/2025,Spring 2025
I279,S1279,Low,Keep up the great work!,3/4/2024,Spring 2024
I280,S1280,Low,Consider reaching out to your academic coach.,11/3/2024,Fall 2024
I281,S1281,High,Attendance could be improved.,6/15/2024,Fall 2024
I282,S1282,Low,Attendance could be improved.,11/21/2024,Fall 2024
I283,S1283,Medium,Consider reaching out to your academic coach.,4/26/2024,Spring 2024
I284,S1284,Low,Consider reaching out to your academic coach.,12/20/2024,Fall 2024
I285,S1285,Low,Keep up the great work!,5/12/2025,Spring 2025
I286,S1286,Low,"You’re doing well, stay consistent.",6/9/2025,Spring 2025
I287,S1287,Low,Consider reaching out to your academic coach.,6/1/2025,Spring 2025
I288,S1288,Low,Keep up the great work!,4/5/2025,Spring 2025
I289,S1289,Medium,"You’re doing well, stay consistent.",7/5/2024,Fall 2024
I290,S1290,Low,Attendance could be improved.,2/3/2025,Spring 2025
I291,S1291,Medium,Attendance could be improved.,7/29/2025,Spring 2025
I292,S1292,Medium,Consider reaching out to your academic coach.,1/3/2025,Spring 2025
I293,S1293,Low,Attendance could be improved.,11/12/2024,Fall 2024
I294,S1294,Medium,Attendance could be improved.,7/13/2025,Spring 2025
I295,S1295,Low,Keep up the great work!,5/20/2025,Spring 2025
I296,S1296,Low,Keep up the great work!,8/23/2024,Fall 2024
I297,S1297,Low,Keep up the great work!,1/21/2024,Spring 2024
I298,S1298,Medium,Keep up the great work!,5/17/2024,Spring 2024
I299,S1299,High,Keep up the great work!,3/6/2025,Spring 2025
I300,S1300,Low,Consider reaching out to your academic coach.,8/12/2024,Fall 2024
I301,S1301,Low,"You’re doing well, stay consistent.",5/28/2024,Spring 2024
I302,S1302,Medium,"You’re doing well, stay consistent.",7/26/2024,Fall 2024
I303,S1303,Medium,Consider reaching out to your academic coach.,7/19/2025,Spring 2025
I304,S1304,Low,"You’re doing well, stay consistent.",8/26/2024,Fall 2024
I305,S1305,Low,Attendance could be improved.,6/25/2024,Fall 2024
I306,S1306,Medium,Consider reaching out to your academic coach.,12/28/2024,Fall 2024
I307,S1307,Low,Attendance could be improved.,12/25/2024,Fall 2024
I308,S1308,Low,"You’re doing well, stay consistent.",7/30/2025,Spring 2025
I309,S1309,Low,Keep up the great work!,11/13/2024,Fall 2024
I310,S1310,High,"You’re doing well, stay consistent.",3/28/2024,Spring 2024
I311,S1311,Low,Consider reaching out to your academic coach.,10/3/2024,Fall 2024
I312,S1312,Medium,Keep up the great work!,4/11/2024,Spring 2024
I313,S1313,High,"You’re doing well, stay consistent.",9/30/2024,Fall 2024
I314,S1314,Low,Consider reaching out to your academic coach.,8/5/2024,Fall 2024
I315,S1315,Low,"You’re doing well, stay consistent.",2/21/2025,Spring 2025
I316,S1316,Medium,Consider reaching out to your academic coach.,1/23/2025,Spring 2025
I317,S1317,Low,"You’re doing well, stay consistent.",9/6/2024,Fall 2024
I318,S1318,High,Attendance could be improved.,9/24/2025,Spring 2025
I319,S1319,Low,"You’re doing well, stay consistent.",7/1/2025,Spring 2025
I320,S1320,High,Attendance could be improved.,8/19/2025,Spring 2025
I321,S1321,Medium,Consider reaching out to your academic coach.,7/8/2024,Fall 2024
I322,S1322,Low,Attendance could be improved.,5/15/2025,Spring 2025
I323,S1323,High,Keep up the great work!,4/18/2025,Spring 2025
I324,S1324,Medium,Attendance could be improved.,7/7/2025,Spring 2025
I325,S1325,High,"You’re doing well, stay consistent.",11/27/2024,Fall 2024
I326,S1326,High,"You’re doing well, stay consistent.",1/6/2025,Spring 2025
I327,S1327,Low,Consider reaching out to your academic coach.,5/24/2024,Spring 2024
I328,S1328,Low,"You’re doing well, stay consistent.",12/23/2024,Fall 2024
I329,S1329,Low,Consider reaching out to your academic coach.,9/26/2024,Fall 2024
I330,S1330,Low,"You’re doing well, stay consistent.",11/9/2024,Fall 2024
I331,S1331,Medium,"You’re doing well, stay consistent.",4/27/2024,Spring 2024
I332,S1332,Medium,"You’re doing well, stay consistent.",6/28/2025,Spring 2025
I333,S1333,Low,Consider reaching out to your academic coach.,6/23/2025,Spring 2025
I334,S1334,Medium,Keep up the great work!,1/3/2024,Spring 2024
I335,S1335,High,Keep up the great work!,4/17/2025,Spring 2025
I336,S1336,High,"You’re doing well, stay consistent.",4/1/2024,Spring 2024
I337,S1337,Low,Keep up the great work!,5/4/2024,Spring 2024
I338,S1338,Low,"You’re doing well, stay consistent.",8/30/2025,Spring 2025
I339,S1339,Low,Attendance could be improved.,2/10/2024,Spring 2024
I340,S1340,Low,Keep up the great work!,4/2/2024,Spring 2024
I341,S1341,Medium,Attendance could be improved.,4/24/2024,Spring 2024
I342,S1342,Medium,Consider reaching out to your academic coach.,7/20/2025,Spring 2025
I343,S1343,Low,Keep up the great work!,1/22/2025,Spring 2025
I344,S1344,High,Attendance could be improved.,4/20/2025,Spring 2025
I345,S1345,Medium,Consider reaching out to your academic coach.,1/30/2024,Spring 2024
I346,S1346,Low,"You’re doing well, stay consistent.",9/27/2024,Fall 2024
I347,S1347,Low,Attendance could be improved.,10/11/2024,Fall 2024
I348,S1348,Medium,"You’re doing well, stay consistent.",1/16/2025,Spring 2025
I349,S1349,Low,Consider reaching out to your academic coach.,1/11/2024,Spring 2024
I350,S1350,Low,"You’re doing well, stay consistent.",10/4/2025,Spring 2025
I351,S1351,Low,Attendance could be improved.,7/10/2025,Spring 2025
I352,S1352,Medium,Attendance could be improved.,2/13/2025,Spring 2025
I353,S1353,Low,Keep up the great work!,5/26/2024,Spring 2024
I354,S1354,Low,Consider reaching out to your academic coach.,4/18/2025,Spring 2025
I355,S1355,Low,Consider reaching out to your academic coach.,1/10/2024,Spring 2024
I356,S1356,Low,Consider reaching out to your academic coach.,5/11/2024,Spring 2024
I357,S1357,Medium,Keep up the great work!,10/3/2024,Fall 2024
I358,S1358,Medium,Consider reaching out to your academic coach.,6/25/2024,Fall 2024
I359,S1359,High,"You’re doing well, stay consistent.",3/3/2024,Spring 2024
I360,S1360,Low,Consider reaching out to your academic coach.,9/16/2024,Fall 2024
I361,S1361,Medium,"You’re doing well, stay consistent.",12/27/2024,Fall 2024
I362,S1362,High,Keep up the great work!,10/15/2024,Fall 2024
I363,S1363,Low,Attendance could be improved.,7/11/2025,Spring 2025
I364,S1364,High,Attendance could be improved.,3/21/2025,Spring 2025
I365,S1365,Low,Consider reaching out to your academic coach.,11/17/2024,Fall 2024
I366,S1366,Low,Attendance could be improved.,6/11/2025,Spring 2025
I367,S1367,Medium,Attendance could be improved.,12/2/2024,Fall 2024
I368,S1368,Medium,"You’re doing well, stay consistent.",2/24/2024,Spring 2024
I369,S1369,Low,Consider reaching out to your academic coach.,1/5/2025,Spring 2025
I370,S1370,Medium,Consider reaching out to your academic coach.,5/3/2025,Spring 2025
I371,S1371,Medium,Attendance could be improved.,7/19/2025,Spring 2025
I372,S1372,High,Consider reaching out to your academic coach.,3/3/2024,Spring 2024
I373,S1373,Low,Keep up the great work!,2/10/2024,Spring 2024
I374,S1374,Medium,Attendance could be improved.,5/9/2025,Spring 2025
I375,S1375,High,Keep up the great work!,1/11/2024,Spring 2024
I376,S1376,Low,"You’re doing well, stay consistent.",2/7/2025,Spring 2025
I377,S1377,Low,Keep up the great work!,11/19/2024,Fall 2024
I378,S1378,Low,Keep up the great work!,3/22/2024,Spring 2024
I379,S1379,Low,Keep up the great work!,6/29/2024,Fall 2024
I380,S1380,High,Keep up the great work!,1/4/2024,Spring 2024
I381,S1381,Medium,Keep up the great work!,12/7/2024,Fall 2024
